smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-154.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-506044383.773,48898703.4664,-504999692.72,-454821805.418,-626612129.596,-579179490.547,-457820630.757,10.0,2391083200700000.0,0.124990974078,2.4762864257000002e-14,0.00391306346567,20,0.250000425161,0.125226860254
720.0,-292.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-571468137.457,25695184.3878,-565759565.194,-537673512.395,-616779477.127,-611401686.353,-541374895.339,10.0,660242500725000.0,0.124990974078,2.4762864257000002e-14,0.007826129889,14,0.250000519641,0.250453720508
720.0,-430.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-610745370.776,33215364.7937,-619094746.391,-569313209.838,-660671578.987,-649968831.87,-569925907.852,10.0,1103260458380000.0,0.124990974078,2.4762864257000002e-14,0.00779777434592,13,0.250000519641,0.249546279492
720.0,-567.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-644188621.654,13830319.624,-644113287.34,-625943246.224,-665180654.847,-664400210.528,-626952946.204,10.0,191277740902000.0,0.124990974078,2.4762864257000002e-14,0.00779774487657,7,0.249999574839,0.249546279492
720.0,-292.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-650053717.349,42730017.9653,-661576708.931,-581065758.477,-701604107.31,-700823477.56,-582766478.245,10.0,1825854435320000.0,0.124990974078,2.4762864257000002e-14,0.00782612693135,19,0.250000425161,0.250453720508
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-683962203.849,10858380.8595,-682472523.488,-671125388.677,-706285098.671,-700820306.213,-671975649.379,10.0,117904434891000.0,0.124990974078,2.4762864257000002e-14,0.00391305015624,6,0.249999574839,0.125226860254
720.0,-567.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-724047553.298,33807853.32,-733973369.145,-655662263.516,-762228642.336,-758334157.806,-663711575.289,10.0,1142970946100000.0,0.124990974078,2.4762864257000002e-14,0.00779777434592,12,0.250000519641,0.249546279492
720.0,-430.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-792616188.25,34816318.5411,-785220564.125,-749519862.802,-847416108.664,-847320282.706,-750489363.042,10.0,1212176036760000.0,0.124990974078,2.4762864257000002e-14,0.00779777139899,18,0.250000425161,0.249546279492
720.0,-154.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-813035189.942,37379382.0975,-810130049.395,-759104601.105,-872379288.105,-863181663.24,-764195427.581,10.0,1397218205990000.0,0.250018051845,2.4762864257000002e-14,0.00782726017928,40,0.250000519641,0.125226860254
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-831971328.493,40598653.6761,-833179248.698,-749251706.989,-889738775.637,-881211175.633,-772667057.983,10.0,1648250680310000.0,0.124990974078,2.4762864257000002e-14,0.0039130649445,11,0.250000519641,0.125226860254
720.0,-292.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-885882721.234,52046417.9254,-885604153.846,-821787623.617,-977526895.002,-960372385.18,-822356644.307,10.0,2708829618860000.0,0.250018051845,2.4762864257000002e-14,0.0156545203586,39,0.250000519641,0.250453720508
720.0,-567.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-910588435.801,50771806.4822,-927020948.418,-844632196.524,-978029505.763,-969352699.317,-846165010.379,10.0,2577776333470000.0,0.124990974078,2.4762864257000002e-14,0.00779777139899,17,0.250000425161,0.249546279492
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-922130004.427,22331928.4122,-931502327.599,-876669279.828,-940883989.807,-940793648.811,-884022680.013,10.0,498715026607000.0,0.250018051845,2.4762864257000002e-14,0.0155977421347,33,0.249999574839,0.249546279492
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-965089630.057,16679158.7951,-966819105.204,-935636730.593,-993466754.336,-985706539.462,-939996968.141,10.0,278194338112000.0,0.250018051845,2.4762864257000002e-14,0.0155977421347,32,0.249999574839,0.249546279492
720.0,-154.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-987862106.591,48930510.6074,-987835315.555,-902262350.019,-1071843268.72,-1058086138.87,-923369342.294,10.0,2394194868300000.0,0.124990974078,2.4762864257000002e-14,0.00195653099342,25,0.12500016534,0.125226860254
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1032823845.9,24825410.1866,-1037551817.23,-991896152.158,-1074946929.14,-1067948918.14,-999410360.555,10.0,616300990934000.0,0.250018051845,2.4762864257000002e-14,0.0155978010819,38,0.250000519641,0.249546279492
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1047629706.39,49768447.0196,-1061658392.28,-954362112.033,-1129269709.06,-1107299924.62,-975248784.328,10.0,2476898318740000.0,0.124990974078,2.4762864257000002e-14,0.00391306346567,16,0.250000425161,0.125226860254
720.0,-154.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1082387629.61,53619569.7338,-1059680169.76,-1031898535.68,-1166189357.35,-1159595408.68,-1032310180.71,10.0,2875058258440000.0,0.250018051845,2.4762864257000002e-14,0.0078272572212,45,0.250000425161,0.125226860254
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1091418032.59,18419040.5043,-1098318458.57,-1053849329.27,-1110219444.46,-1108133330.91,-1061090331.71,10.0,339261053098000.0,0.250018051845,2.4762864257000002e-14,0.00782723059849,31,0.249999574839,0.125226860254
720.0,-292.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1125847072.14,35470603.9468,-1134492649.35,-1074303942.46,-1167274018.93,-1165608783.21,-1077400631.68,10.0,1258163744350000.0,0.124990974078,2.4762864257000002e-14,0.00391306198685,24,0.12500016534,0.250453720508
720.0,-292.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1133441433.4,31623011.5369,-1132164166.79,-1081944943.94,-1175213983.57,-1173399826.26,-1086783491.92,10.0,1000014858660000.0,0.250018051845,2.4762864257000002e-14,0.015654461197,59,0.249999574839,0.250453720508
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1139981891.26,7225306.83047,-1138765297.12,-1129428053.74,-1154235275.52,-1150319633.35,-1131156917.9,10.0,52205058794500.0,0.250018051845,2.4762864257000002e-14,0.00391360050885,26,0.124999315018,0.125226860254
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1154663464.26,23691918.8637,-1156764479.5,-1104333209.81,-1192272993.9,-1182215195.56,-1117065770.92,10.0,561307019443000.0,0.250018051845,2.4762864257000002e-14,0.0155978010819,37,0.250000519641,0.249546279492
720.0,-154.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1202757103.38,33530696.9239,-1205550375.02,-1147648704.87,-1257054233.77,-1244557890.23,-1158042862.71,10.0,1124307636200000.0,0.250018051845,2.4762864257000002e-14,0.00782726017928,65,0.250000519641,0.125226860254
720.0,-292.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1211561206.71,29203182.7056,-1204155642.19,-1165677900.11,-1270160445.27,-1258940313.26,-1177821670.38,10.0,852825880138000.0,0.250018051845,2.4762864257000002e-14,0.0156545144424,44,0.250000425161,0.250453720508
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1253817118.25,17208545.6847,-1252699147.25,-1230659500.84,-1289042302.66,-1281674320.92,-1233195763.43,10.0,296134044582000.0,0.250018051845,2.4762864257000002e-14,0.00779884159372,53,0.124999315018,0.249546279492
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1263827739.33,28649514.1062,-1265181445.08,-1211465030.81,-1307728319.99,-1300986890.12,-1219247841.45,10.0,820794658523000.0,0.250018051845,2.4762864257000002e-14,0.0155977421347,58,0.249999574839,0.249546279492
720.0,-430.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1284147471.25,65715559.9495,-1290197968.98,-1139754139.58,-1388222305.26,-1360653513.61,-1181851745.29,10.0,4318534819470000.0,0.124990974078,2.4762864257000002e-14,0.00389888422603,23,0.12500016534,0.249546279492
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1292126707.08,34510564.7257,-1290609291.83,-1248859152.55,-1336903958.39,-1335727889.3,-1250043714.2,10.0,1190979077690000.0,0.250018051845,2.4762864257000002e-14,0.00782726017928,36,0.250000519641,0.125226860254
720.0,-292.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1357553453.42,39839652.25,-1356324669.79,-1309254155.28,-1432243396.01,-1416334645.52,-1312695921.29,10.0,1587197891400000.0,0.250018051845,2.4762864257000002e-14,0.0156545203586,64,0.250000519641,0.250453720508
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1384228228.05,38464830.6866,-1382051236.1,-1323611910.01,-1438260214.5,-1436551678.02,-1329056910.66,10.0,1479543199750000.0,0.250018051845,2.4762864257000002e-14,0.0155977421347,57,0.249999574839,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1392314126.72,12117835.4239,-1390755462.65,-1377520050.85,-1417466281.12,-1410913290.74,-1378529900.2,10.0,146841935362000.0,0.250018051845,2.4762864257000002e-14,0.00779884159372,52,0.124999315018,0.249546279492
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1399076069.25,41435641.2019,-1401373794.62,-1320306105.72,-1457788731.8,-1454258909.09,-1341385283.31,10.0,1716912361810000.0,0.250018051845,2.4762864257000002e-14,0.0155977951872,43,0.250000425161,0.249546279492
720.0,-567.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1429225147.33,33799836.1126,-1431460515.4,-1364242359.23,-1479667928.45,-1474627192.75,-1382590607.15,10.0,1142428921240000.0,0.124990974078,2.4762864257000002e-14,0.00389888422603,22,0.12500016534,0.249546279492
720.0,-154.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1429297318.81,28397655.9147,-1440331332.4,-1371437681.54,-1464415105.93,-1460798274.56,-1386951144.63,10.0,806426861449000.0,0.249981948155,2.4762864257000002e-14,0.00782610031248,85,0.249999574839,0.125226860254
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1476955706.62,53241274.3094,-1478500195.51,-1395017959.4,-1549266213.14,-1546552598.38,-1402135493.44,10.0,2834633290090000.0,0.250018051845,2.4762864257000002e-14,0.0155978010819,63,0.250000519641,0.249546279492
