smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,prefix
720.0,-154.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-136854467.444,26156852.7086,-134105851.09,-94604595.606,-182032947.748,-176013470.892,-100813452.032,10.0,684180943619000.0,0.250000425161,0.125226860254,0.124990974078,2.4762864257000002e-14,0.00391306346567,20
720.0,-292.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-262750564.672,23359550.7225,-264337392.213,-224965207.177,-291676728.11,-291134520.052,-232504421.44,10.0,545668609958000.0,0.250000519641,0.250453720508,0.124990974078,2.4762864257000002e-14,0.007826129889,14
720.0,-430.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-315007471.973,27078148.334,-319683552.694,-262315154.025,-357098675.315,-350485627.777,-273451982.341,10.0,733226117197000.0,0.250000519641,0.249546279492,0.124990974078,2.4762864257000002e-14,0.00779777434592,13
720.0,-292.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-327517480.589,22679798.746,-325066532.549,-296206626.078,-370097046.497,-361409340.699,-301135300.948,10.0,514373271159000.0,0.250000425161,0.250453720508,0.124990974078,2.4762864257000002e-14,0.00782612693135,19
720.0,-567.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-395824999.567,11071759.8175,-395406297.776,-377894380.236,-412400582.071,-409743079.91,-380020133.194,10.0,122583865456000.0,0.249999574839,0.249546279492,0.124990974078,2.4762864257000002e-14,0.00779774487657,7
720.0,-567.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-440759611.708,14639361.0196,-441330878.234,-419599708.494,-460779061.159,-460455229.523,-420546697.291,10.0,214310891063000.0,0.250000519641,0.249546279492,0.124990974078,2.4762864257000002e-14,0.00779777434592,12
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-446232403.615,14521342.6266,-440817829.27,-430009354.912,-470109301.669,-468446133.31,-431241819.283,10.0,210869391680000.0,0.249999574839,0.125226860254,0.124990974078,2.4762864257000002e-14,0.00391305015624,6
720.0,-154.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-471617308.452,42288266.1053,-454943262.058,-427465316.406,-556630445.198,-546130003.003,-432003840.208,10.0,1788297450190000.0,0.250000519641,0.125226860254,0.250018051845,2.4762864257000002e-14,0.00782726017928,40
720.0,-430.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-479347438.089,25638866.885,-471400209.986,-442245573.578,-520828246.022,-513541678.5,-448893552.688,10.0,657351495145000.0,0.250000425161,0.249546279492,0.124990974078,2.4762864257000002e-14,0.00779777139899,18
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-562331981.123,20631022.836,-566389354.568,-521740166.199,-589126359.525,-587244775.487,-526774564.268,10.0,425639103258000.0,0.250000519641,0.125226860254,0.124990974078,2.4762864257000002e-14,0.0039130649445,11
720.0,-292.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-596066520.833,52555425.7746,-587649990.692,-500352963.648,-660325534.122,-659797222.921,-524961935.896,10.0,2762072778340000.0,0.250000519641,0.250453720508,0.250018051845,2.4762864257000002e-14,0.0156545203586,39
720.0,-154.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-617712050.451,38587397.6131,-630336460.057,-537169215.039,-672228362.687,-659016379.894,-556334919.856,10.0,1488987254550000.0,0.12500016534,0.125226860254,0.124990974078,2.4762864257000002e-14,0.00195653099342,25
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-620353866.282,18756711.7143,-619069642.421,-583777658.731,-649779961.734,-646728000.064,-595431010.126,10.0,351814234333000.0,0.249999574839,0.249546279492,0.250018051845,2.4762864257000002e-14,0.0155977421347,33
720.0,-567.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-622345560.312,31418072.2893,-613624041.447,-576081139.059,-666944713.656,-662699167.061,-579801782.854,10.0,987095266377000.0,0.250000425161,0.249546279492,0.124990974078,2.4762864257000002e-14,0.00779777139899,17
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-704886941.799,18298733.4932,-706319213.142,-680862189.241,-732679829.459,-727437452.495,-681075926.026,10.0,334843647455000.0,0.249999574839,0.249546279492,0.250018051845,2.4762864257000002e-14,0.0155977421347,32
