smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-705470891.913,41975367.3539,-709505447.163,-641729583.903,-775761401.01,-763446321.06,-650141402.365,10.0,1761931464500000.0,105,0.124999315018,0.125226860254,0.00195651768399,0.124990974078,2.4762864257000002e-14
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-833786818.99,36372534.2524,-832699831.271,-796162650.336,-913820125.234,-888121050.881,-796316551.052,10.0,1322961247940000.0,104,0.124999315018,0.250453720508,0.00391303536798,0.124990974078,2.4762864257000002e-14
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1032279268.31,33368915.9355,-1039177642.3,-971676805.643,-1076151502.11,-1071535505.64,-984566800.003,10.0,1113484550710000.0,103,0.124999315018,0.249546279492,0.00389885770361,0.124990974078,2.4762864257000002e-14
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1088029166.69,30857033.2213,-1098163041.92,-1038515720.31,-1124104967.98,-1121359088.67,-1045059343.66,10.0,952156499220000.0,79,0.124999315018,0.250453720508,0.00782607073597,0.249981948155,2.4762864257000002e-14
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1184493920.41,28576263.1648,-1188868097.35,-1138141263.42,-1217902787.75,-1216193170.63,-1141296460.15,10.0,816602816465000.0,102,0.124999315018,0.249546279492,0.00389885770361,0.124990974078,2.4762864257000002e-14
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1237968050.96,26553469.1741,-1234215079.16,-1198211403.22,-1290826448.77,-1276206823.38,-1201125087.36,10.0,705086725182000.0,78,0.124999315018,0.249546279492,0.00779771540721,0.249981948155,2.4762864257000002e-14
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1246976270.32,30611514.8543,-1255819168.16,-1192404087.74,-1277397634.34,-1277027572.29,-1196791593.82,10.0,937064841676000.0,110,0.249999574839,0.125226860254,0.00391305015624,0.124990974078,2.4762864257000002e-14
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1361329876.68,18153342.5636,-1365969129.31,-1324280387.02,-1378787568.05,-1378164362.89,-1329970973.84,10.0,329543846231000.0,101,0.124999315018,0.125226860254,0.00195651768399,0.124990974078,2.4762864257000002e-14
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1376896567.76,34964049.5407,-1385253484.31,-1329202002.28,-1428845062.42,-1425542403.56,-1332809211.85,10.0,1222484760280000.0,109,0.249999574839,0.250453720508,0.00782610031248,0.124990974078,2.4762864257000002e-14
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1413754513.64,18824030.8879,-1415680675.16,-1378441282.25,-1445957038.09,-1440616357.98,-1386267074.22,10.0,354344138869000.0,77,0.124999315018,0.249546279492,0.00779771540721,0.249981948155,2.4762864257000002e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1459159735.48,9159237.44346,-1458437080.44,-1443376463.78,-1479962705.4,-1472471055.23,-1448496688.65,10.0,83891630545700.0,53,0.124999315018,0.249546279492,0.00779884159372,0.250018051845,2.4762864257000002e-14
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1516623986.72,16002179.5291,-1514682337.34,-1493987891.82,-1540050063.8,-1538724469.75,-1497279386.65,10.0,256069749680000.0,108,0.249999574839,0.249546279492,0.00779774487657,0.124990974078,2.4762864257000002e-14
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1552873200.96,21925806.6093,-1552719018.27,-1516375055.01,-1595053093.99,-1583270303.29,-1522163901.61,10.0,480740995470000.0,76,0.124999315018,0.125226860254,0.00391303536798,0.249981948155,2.4762864257000002e-14
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1619936328.01,19551659.1559,-1616075454.19,-1590120017.14,-1654302484.31,-1647311281.87,-1593622646.3,10.0,382267375747000.0,84,0.249999574839,0.250453720508,0.015652200625,0.249981948155,2.4762864257000002e-14
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1629192511.26,14843925.1287,-1631592624.46,-1602973397.99,-1647704973.27,-1644720973.67,-1603824950.88,10.0,220342113228000.0,52,0.124999315018,0.249546279492,0.00779884159372,0.250018051845,2.4762864257000002e-14
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1691004719.8,38124740.8694,-1692005993.7,-1630755691.17,-1737074733.24,-1736427892.38,-1638925805.31,10.0,1453495866360000.0,107,0.249999574839,0.249546279492,0.00779774487657,0.124990974078,2.4762864257000002e-14
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1718371185.93,25264351.0713,-1713883200.1,-1690526380.9,-1776455792.01,-1756480217.2,-1691007190.69,10.0,638287435055000.0,83,0.249999574839,0.249546279492,0.0155954897531,0.249981948155,2.4762864257000002e-14
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1783991210.61,16483292.3256,-1782363853.8,-1761947346.39,-1808762401.37,-1806250773.81,-1762275618.16,10.0,271698925892000.0,51,0.124999315018,0.125226860254,0.00391360050885,0.250018051845,2.4762864257000002e-14
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1802978829.84,43624838.5059,-1790087610.94,-1723822280.28,-1892426724.91,-1866931114.45,-1751824122.9,10.0,1903126534660000.0,115,0.250000519641,0.125226860254,0.0039130649445,0.124990974078,2.4762864257000002e-14
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1840551672.03,27421989.4216,-1841193421.57,-1807159844.26,-1903703634.41,-1879705800.61,-1809775393.89,10.0,751965503839000.0,82,0.249999574839,0.249546279492,0.0155954897531,0.249981948155,2.4762864257000002e-14
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1861475578.39,23699893.008,-1859104802.15,-1829176790.64,-1890890553.28,-1890546296.94,-1833797328.82,10.0,561684928591000.0,106,0.249999574839,0.125226860254,0.00391305015624,0.124990974078,2.4762864257000002e-14
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1947822584.45,38008894.1085,-1940166031.7,-1878347689.73,-1988532343.86,-1988472279.44,-1897860352.76,10.0,1444676031350000.0,114,0.250000519641,0.250453720508,0.007826129889,0.124990974078,2.4762864257000002e-14
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1982482008.06,11468877.0912,-1983349532.49,-1965130177.14,-1999104219.27,-1997566776.0,-1965198905.28,10.0,131535141732000.0,26,0.124999315018,0.125226860254,0.00391360050885,0.250018051845,2.4762864257000002e-14
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1993636548.69,25518139.843,-1986914148.39,-1965930223.76,-2048097034.23,-2031692092.22,-1968336921.03,10.0,651175461047000.0,81,0.249999574839,0.125226860254,0.00782610031248,0.249981948155,2.4762864257000002e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2002016073.4,17035325.0999,-1998097867.27,-1985119926.29,-2042498918.43,-2031409838.43,-1986940234.32,10.0,290202301258000.0,58,0.249999574839,0.249546279492,0.0155977421347,0.250018051845,2.4762864257000002e-14
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2083939556.77,20985092.1238,-2080411363.55,-2058864315.77,-2116507002.85,-2116180596.34,-2060953128.81,10.0,440374091445000.0,57,0.249999574839,0.249546279492,0.0155977421347,0.250018051845,2.4762864257000002e-14
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2085434280.42,32069523.7684,-2088314556.36,-2028179142.06,-2117903206.02,-2117340962.62,-2039723982.48,10.0,1028454354730000.0,113,0.250000519641,0.249546279492,0.00779777434592,0.124990974078,2.4762864257000002e-14
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2179390604.0,15056691.4595,-2180209834.02,-2150739966.34,-2203765093.26,-2199295519.68,-2156002229.16,10.0,226703957707000.0,89,0.250000519641,0.250453720508,0.015652259778,0.249981948155,2.4762864257000002e-14
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2188989940.08,17415669.785,-2197039187.48,-2163040707.95,-2209322001.18,-2208171049.77,-2163272777.95,10.0,303305554060000.0,56,0.249999574839,0.125226860254,0.00782723059849,0.250018051845,2.4762864257000002e-14
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2271342355.24,29084091.2577,-2275651515.73,-2214800132.49,-2316585946.31,-2309283332.11,-2226335598.93,10.0,845884364285000.0,88,0.250000519641,0.249546279492,0.0155955486918,0.249981948155,2.4762864257000002e-14
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2283139548.45,46936701.6163,-2291049508.2,-2202363925.04,-2334765747.46,-2334525141.75,-2214402938.89,10.0,2203053958620000.0,112,0.250000519641,0.249546279492,0.00779777434592,0.124990974078,2.4762864257000002e-14
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2368433717.84,8922994.72478,-2370438302.25,-2354541384.6,-2381081234.3,-2379942435.59,-2356054634.79,10.0,79619834858400.0,32,0.249999574839,0.249546279492,0.0155977421347,0.250018051845,2.4762864257000002e-14
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2371459408.87,36906077.2724,-2368832888.9,-2303997978.22,-2442636317.56,-2424031799.08,-2322844809.42,10.0,1362058539640000.0,120,0.250000425161,0.125226860254,0.00391306346567,0.124990974078,2.4762864257000002e-14
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2420708492.14,15403349.0172,-2425461121.19,-2393485227.44,-2443429088.22,-2438743033.16,-2396449884.43,10.0,237263160946000.0,31,0.249999574839,0.125226860254,0.00782723059849,0.250018051845,2.4762864257000002e-14
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2430724139.97,37039306.3161,-2435017446.47,-2368134122.83,-2479606928.68,-2476273820.37,-2376149798.57,10.0,1371910212380000.0,111,0.250000519641,0.125226860254,0.0039130649445,0.124990974078,2.4762864257000002e-14
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2437205443.86,32308574.6734,-2424077942.05,-2399617446.99,-2495337001.47,-2489108329.89,-2403867742.05,10.0,1043843997430000.0,87,0.250000519641,0.249546279492,0.0155955486918,0.249981948155,2.4762864257000002e-14
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2537949206.14,23857554.2766,-2531675592.75,-2501922249.34,-2577272517.11,-2574354116.82,-2509841152.62,10.0,569182896061000.0,119,0.250000425161,0.250453720508,0.00782612693135,0.124990974078,2.4762864257000002e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2540671982.06,15268641.2477,-2543557180.77,-2510611435.56,-2560496205.23,-2556231756.63,-2513996854.27,10.0,233131405551000.0,63,0.250000519641,0.249546279492,0.0155978010819,0.250018051845,2.4762864257000002e-14
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2568528945.49,19442377.8637,-2568492843.82,-2542855348.88,-2596855929.73,-2595258310.12,-2544126380.36,10.0,378006056995000.0,86,0.250000519641,0.125226860254,0.007826129889,0.249981948155,2.4762864257000002e-14
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2627023580.16,19483995.5326,-2623728252.25,-2605502213.76,-2670539687.35,-2659017166.06,-2606990377.0,10.0,379626081915000.0,62,0.250000519641,0.249546279492,0.0155978010819,0.250018051845,2.4762864257000002e-14
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2675535978.35,34284878.9986,-2678345221.25,-2617369863.49,-2745212029.61,-2723022403.54,-2630788102.86,10.0,1175452927950000.0,118,0.250000425161,0.249546279492,0.00779777139899,0.124990974078,2.4762864257000002e-14
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2728048757.3,1436508.09151,-2728527299.14,-2725105138.23,-2729957301.17,-2729605937.15,-2725709770.93,10.0,2063555496960.0,6,0.249999574839,0.125226860254,0.00391305015624,0.124990974078,2.4762864257000002e-14
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2739192321.79,30022765.8107,-2742692944.72,-2683275461.24,-2782382234.07,-2775550506.15,-2697962230.41,10.0,901366466921000.0,94,0.250000425161,0.250453720508,0.0156522538627,0.249981948155,2.4762864257000002e-14
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2757192791.0,18254798.464,-2753031500.54,-2731792103.31,-2791984904.24,-2787267142.11,-2735867719.1,10.0,333237666962000.0,61,0.250000519641,0.125226860254,0.00782726017928,0.250018051845,2.4762864257000002e-14
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2852214260.91,50119374.6846,-2855420514.45,-2752267082.2,-2928583455.5,-2912489981.05,-2782358554.4,10.0,2511951718780000.0,117,0.250000425161,0.249546279492,0.00779777139899,0.124990974078,2.4762864257000002e-14
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2857074448.51,26616645.6426,-2855518807.21,-2822372069.77,-2903215871.51,-2897770921.17,-2825052232.28,10.0,708445825262000.0,93,0.250000425161,0.249546279492,0.015595542798,0.249981948155,2.4762864257000002e-14
