smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-481008792.513,23929453.9233,-486137740.168,-429847256.278,-507575248.117,-506377712.288,-443585896.093,10.0,572618765067000.0,105,0.125226860254,0.124999315018,2.4762864257000002e-14,0.124990974078,0.00195651768399
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-661224007.591,42281982.3541,-667164527.47,-581632028.958,-734903740.336,-714817475.037,-599984844.857,10.0,1787766031790000.0,104,0.250453720508,0.124999315018,2.4762864257000002e-14,0.124990974078,0.00391303536798
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-691872318.352,29441630.9631,-698039617.792,-650553611.964,-722326169.372,-721529535.543,-654523148.037,10.0,866809633766000.0,79,0.250453720508,0.124999315018,2.4762864257000002e-14,0.249981948155,0.00782607073597
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-835840092.777,37882213.953,-845979826.646,-764719487.243,-888891218.353,-880516935.577,-778570113.434,10.0,1435062133980000.0,103,0.249546279492,0.124999315018,2.4762864257000002e-14,0.124990974078,0.00389885770361
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-851984273.167,36246014.8619,-850765546.879,-793265491.764,-900386380.998,-897479058.732,-793414797.443,10.0,1313773593370000.0,78,0.249546279492,0.124999315018,2.4762864257000002e-14,0.249981948155,0.00779771540721
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-875812851.583,19593648.3592,-873739352.669,-848582458.005,-906269674.1,-905106856.096,-850160441.912,10.0,383911056025000.0,53,0.249546279492,0.124999315018,2.4762864257000002e-14,0.250018051845,0.00779884159372
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-979959973.404,38424352.4841,-987489490.556,-912085467.094,-1021603931.51,-1020591107.71,-923699826.043,10.0,1476430863820000.0,102,0.249546279492,0.124999315018,2.4762864257000002e-14,0.124990974078,0.00389885770361
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1024984020.99,25808571.9036,-1026423499.63,-964432766.794,-1062557580.89,-1054251122.65,-983927132.038,10.0,666082383701000.0,77,0.249546279492,0.124999315018,2.4762864257000002e-14,0.249981948155,0.00779771540721
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1030542078.03,15906800.69,-1032486371.36,-1004080928.91,-1049510173.81,-1048156604.05,-1007920205.99,10.0,253026308191000.0,52,0.249546279492,0.124999315018,2.4762864257000002e-14,0.250018051845,0.00779884159372
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1048739165.19,32849909.3648,-1047367581.56,-998259207.788,-1093973573.79,-1090185754.35,-998896176.48,10.0,1079116545280000.0,110,0.125226860254,0.249999574839,2.4762864257000002e-14,0.124990974078,0.00391305015624
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1144330112.0,24964559.1027,-1145632680.17,-1103835670.12,-1181370733.69,-1177252647.22,-1109809841.86,10.0,623229211194000.0,101,0.125226860254,0.124999315018,2.4762864257000002e-14,0.124990974078,0.00195651768399
