smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,ProbabilityWeight-ft_capacity
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,498067276.529,3563624.90508,499033713.082,501892608.198,490126766.32,492242808.742,501567920.764,10.0,12699422464100.0,1.73883786583e-14,0.0555547717199,0.0556451612903,0.000343461757187,101,0.111103979461
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,402743733.036,939870.30171,402554568.839,404724044.041,401517538.838,401640176.477,404216679.615,10.0,883356184036.0,1.73883786583e-14,0.111110467246,0.0556451612903,0.000343464612857,11,0.0555519897304
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,400350458.539,5824240.11699,402555027.674,407171158.884,391370834.8,391873341.888,406657553.927,10.0,33921772940400.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.000686923514375,202,0.111103979461
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,319219946.34,6739863.15956,318918329.693,332844205.129,310842342.293,311841613.304,330084894.959,10.0,45425755409600.0,1.73883786583e-14,0.0555547717199,0.0556451612903,0.000343461757187,201,0.111103979461
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,306932396.342,10539644.5863,306603427.654,322930883.877,292247509.611,292519650.576,320656137.308,10.0,111084108005000.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.00068712193249,303,0.111136071887
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,305093117.519,7062261.95766,304346324.361,316232528.831,295303314.932,296674128.31,314826713.437,10.0,49875543958600.0,1.73883786583e-14,0.111110467246,0.111290322581,0.00137385845143,112,0.111103979461
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,289583629.351,7030021.86281,287989537.226,298828825.062,280600034.435,281225821.391,298749849.137,10.0,49421207391600.0,1.73883786583e-14,0.111110467246,0.0556451612903,0.000686929225714,111,0.111103979461
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,284107781.885,22894611.8201,278255640.055,328875796.834,259699367.707,260718107.324,320780268.761,10.0,524163250393000.0,1.73883786583e-14,0.0555547717199,0.110483870968,0.000682142788051,405,0.111136071887
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,228312408.809,10958130.2485,225461723.005,245041466.319,212950833.076,214763013.557,243537559.841,10.0,120080618542000.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.00068712193249,302,0.111136071887
720.0,-361.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,209157716.338,16607549.9977,211538692.495,232125332.054,183832224.499,187235699.908,229984860.969,10.0,275810716928000.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.000686923514375,506,0.111103979461
