smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix
1200.0,-185.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-734667620.108,63582978.4203,-728978169.641,-601205667.592,-824089418.497,-817158321.951,-646790863.067,10.0,4042795144800000.0,6.6445189699799995e-15,0.00154321175503,0.111111111111,0.0555555555556,0.250000304315,39
1200.0,-285.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-794800585.587,62655497.352,-785699726.523,-694850876.903,-905773144.553,-886988209.974,-715920675.418,10.0,3925711348430000.0,6.6445189699799995e-15,0.00154321175503,0.111111111111,0.0555555555556,0.250000304315,38
1200.0,-485.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-824103923.629,41857809.6841,-831196164.555,-763923838.807,-881354298.502,-879228432.436,-765076870.875,10.0,1752076231550000.0,6.6445189699799995e-15,0.00154321217247,0.111111111111,0.0555555555556,0.250000371941,26
1200.0,-585.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-851339337.511,66509324.5582,-870433571.203,-693028135.641,-909650730.549,-908199388.99,-738778167.628,10.0,4423490253190000.0,6.6445189699799995e-15,0.00154321217247,0.111111111111,0.0555555555556,0.250000371941,25
1200.0,-385.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-933471385.314,86670477.3361,-916648481.808,-795373860.411,-1075238006.35,-1069091942.52,-829486728.857,10.0,7511771641670000.0,6.6445189699799995e-15,0.00154321175503,0.111111111111,0.0555555555556,0.250000304315,37
1200.0,-685.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-934644435.781,69817668.7836,-919297365.604,-851152280.149,-1064698131.85,-1039824993.47,-858688160.456,10.0,4874506874380000.0,6.6445189699799995e-15,0.00154321217247,0.111111111111,0.0555555555556,0.250000371941,24
1200.0,-785.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-959763184.815,25746358.9175,-960993359.925,-902468973.596,-996876191.981,-990239583.891,-922280828.94,10.0,662874997509000.0,6.6445189699799995e-15,0.00154320799805,0.111111111111,0.0555555555556,0.249999695685,13
1200.0,-85.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-962988203.62,73396906.7322,-973327877.541,-786680193.278,-1051944133.08,-1041970161.88,-854047028.89,10.0,5387105917850000.0,6.6445189699799995e-15,0.00154321175503,0.0555555555556,0.111111111111,0.250000304315,90
1200.0,-885.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-980527930.396,26041316.0808,-981473768.964,-932600628.788,-1023128317.41,-1017923806.98,-943931422.823,10.0,678150143218000.0,6.6445189699799995e-15,0.00154320799805,0.111111111111,0.0555555555556,0.249999695685,12
1200.0,-485.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1003553061.07,32991657.7525,-1000579642.61,-962301161.426,-1066666811.71,-1051886244.13,-965642193.778,10.0,1088449481260000.0,6.6445189699799995e-15,0.00154321175503,0.111111111111,0.0555555555556,0.250000304315,36
