smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity
240.0,-194.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-79061098.8524,1785874.44439,-79078072.7762,-75936265.0085,-82630398.8963,-81509152.0078,-76566198.7339,10.0,3189347531120.0,0.25,0.124997854366,27,0.00781236589785,1.5260167010100002e-12,0.25
240.0,-163.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-117082729.328,5390826.58923,-117544396.155,-109098211.181,-125618304.907,-124270116.262,-109500720.53,10.0,29061011315100.0,0.25,0.124997854366,53,0.00781236589785,1.5260167010100002e-12,0.25
240.0,-225.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-117976514.922,2698894.29327,-118088430.042,-113892380.45,-123976770.044,-121918686.65,-114636678.232,10.0,7284030406220.0,0.125,0.124997854366,26,0.00390618294892,1.5260167010100002e-12,0.25
240.0,-132.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-153112231.597,6145719.96761,-152493738.923,-142836117.092,-163646027.348,-161625748.36,-145385885.818,10.0,37769873920300.0,0.25,0.124997854366,79,0.00781236589785,1.5260167010100002e-12,0.25
240.0,-194.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-155576439.063,3851772.97155,-155145461.89,-150774206.347,-163199507.926,-162173752.499,-151171144.028,10.0,14836155024300.0,0.25,0.124997854366,52,0.00781236589785,1.5260167010100002e-12,0.25
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-187008819.467,8227493.26476,-188275652.13,-172723553.931,-201693163.58,-198513469.489,-175562198.416,10.0,67691645421700.0,0.125,0.124997854366,105,0.00195309147446,1.5260167010100002e-12,0.125
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-191183035.478,6096804.19237,-190572918.327,-183490491.138,-200760399.917,-200734048.275,-183801385.365,10.0,37171021360100.0,0.25,0.124997854366,78,0.00781236589785,1.5260167010100002e-12,0.25
240.0,-225.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-192027673.214,3688351.25668,-190817587.32,-185482629.835,-197962281.021,-197374655.459,-187435592.019,10.0,13603934992700.0,0.125,0.124997854366,51,0.00390618294892,1.5260167010100002e-12,0.25
240.0,-225.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,422372.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-212673436.279,498928.180666,-212649713.859,-211882680.983,-213367789.968,-213277562.217,-212031635.318,10.0,248929329462.0,0.125,0.249998372277,6,0.00390622456683,1.5260167010100002e-12,0.125
240.0,-132.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-229632107.865,5813717.52049,-230828793.904,-218301765.503,-236240329.148,-235796120.882,-220910512.99,10.0,33799311408000.0,0.25,0.124997854366,104,0.00390618294892,1.5260167010100002e-12,0.125
