smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,prefix
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,426780678.868,23219647.8024,424479843.558,464557406.164,382006878.188,396494594.713,457576567.454,10.0,539152044066000.0,0.250018051845,0.00779884159372,0.124999315018,0.249546279492,2.4762864257000002e-14,53
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,397666183.944,6995272.25854,399305252.139,406075058.516,386686709.234,387117352.357,406017359.062,10.0,48933833971200.0,0.250018051845,0.00391360050885,0.124999315018,0.125226860254,2.4762864257000002e-14,26
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,290056369.284,17402169.4687,293321339.443,318405721.139,255267771.392,264904817.407,311261854.578,10.0,302835502217000.0,0.249981948155,0.00782607073597,0.124999315018,0.250453720508,2.4762864257000002e-14,79
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,256977003.115,15090467.6092,257840145.003,277379415.184,223956580.315,235747689.376,275964446.397,10.0,227722212665000.0,0.250018051845,0.00779884159372,0.124999315018,0.249546279492,2.4762864257000002e-14,52
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,184553790.502,54105802.7819,165693084.131,308030552.248,138706065.547,138939530.531,277328707.23,10.0,2927437894670000.0,0.124990974078,0.00195651768399,0.124999315018,0.125226860254,2.4762864257000002e-14,105
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,156167171.505,1517145.68232,156413589.116,158723449.13,154224686.512,154292787.508,158086429.413,10.0,2301731021380.0,0.124990974078,0.00391305015624,0.249999574839,0.125226860254,2.4762864257000002e-14,6
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,120288228.287,16385669.7776,119782482.991,142832589.984,93036156.1459,96384622.9058,141324335.751,10.0,268490174060000.0,0.249981948155,0.00779771540721,0.124999315018,0.249546279492,2.4762864257000002e-14,78
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,94589583.0644,15156864.8694,92403999.3598,120349004.145,77032618.6819,78399680.894,119776544.082,10.0,229730552668000.0,0.250018051845,0.00391360050885,0.124999315018,0.125226860254,2.4762864257000002e-14,51
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,16837109.42,11161646.1967,16374545.6741,33909310.3655,-2409579.69346,238038.758285,32080490.2994,10.0,124582345821000.0,0.250018051845,0.0155977421347,0.249999574839,0.249546279492,2.4762864257000002e-14,32
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-8623177.12055,35002090.4655,-15209091.6131,72171601.5747,-52952507.3167,-50370883.2731,46294783.0822,10.0,1225146336950000.0,0.124990974078,0.00391303536798,0.124999315018,0.250453720508,2.4762864257000002e-14,104
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-36427674.4974,30807140.0393,-25844186.2936,899138.376604,-87136534.4136,-83319434.9677,-1703095.93866,10.0,949079877398000.0,0.249981948155,0.00779771540721,0.124999315018,0.249546279492,2.4762864257000002e-14,77
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-40239410.8678,12474761.7586,-42268747.2181,-14309722.0968,-55354527.7257,-54556929.0696,-21347176.8853,10.0,155619680934000.0,0.250018051845,0.00782723059849,0.249999574839,0.125226860254,2.4762864257000002e-14,31
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-103627015.607,15533578.4312,-99569290.9062,-81084875.0225,-130721037.917,-127438858.275,-85441670.213,10.0,241292058877000.0,0.250018051845,0.0155977421347,0.249999574839,0.249546279492,2.4762864257000002e-14,58
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-165265597.093,19917305.108,-160863122.682,-140940376.693,-203298560.844,-200257539.641,-143202030.957,10.0,396699042766000.0,0.124990974078,0.00389885770361,0.124999315018,0.249546279492,2.4762864257000002e-14,103
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-186669346.928,19222181.3607,-184379775.286,-161370478.614,-232279192.109,-215893130.067,-165257597.775,10.0,369492256265000.0,0.249981948155,0.00391303536798,0.124999315018,0.125226860254,2.4762864257000002e-14,76
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-195673840.707,15937216.7356,-198673575.929,-163777199.061,-213683824.752,-212990719.258,-172497369.958,10.0,253994877278000.0,0.250018051845,0.0155977421347,0.249999574839,0.249546279492,2.4762864257000002e-14,57
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-243017152.076,19727469.3177,-243741369.153,-214569331.452,-284250988.848,-271931651.659,-217398308.431,10.0,389173045681000.0,0.249981948155,0.015652200625,0.249999574839,0.250453720508,2.4762864257000002e-14,84
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-312459415.493,16643338.4535,-311181216.047,-281794968.147,-349754487.788,-336870789.678,-292515811.607,10.0,277000714877000.0,0.250018051845,0.00782723059849,0.249999574839,0.125226860254,2.4762864257000002e-14,56
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-326409027.805,16022078.9772,-324010298.462,-303597267.505,-363511285.567,-351936429.126,-308585304.264,10.0,256707014752000.0,0.124990974078,0.00389885770361,0.124999315018,0.249546279492,2.4762864257000002e-14,102
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-348637789.88,23628258.7887,-346539953.803,-312517137.861,-380370034.349,-379642061.061,-319033309.754,10.0,558294613387000.0,0.249981948155,0.0155954897531,0.249999574839,0.249546279492,2.4762864257000002e-14,83
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-366809764.779,40157502.2524,-377443722.889,-301518861.279,-428730309.821,-414446410.88,-302300568.045,10.0,1612624987150000.0,0.124990974078,0.00391305015624,0.249999574839,0.125226860254,2.4762864257000002e-14,110
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-388060899.073,2477490.46415,-387815032.816,-383481926.39,-391850804.133,-391325437.31,-384559089.167,10.0,6137958999970.0,0.124990974078,0.0039130649445,0.250000519641,0.125226860254,2.4762864257000002e-14,11
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-473532568.894,17688269.9108,-466899019.856,-453597330.041,-511489427.933,-501447678.006,-455517153.927,10.0,312874892436000.0,0.249981948155,0.0155954897531,0.249999574839,0.249546279492,2.4762864257000002e-14,82
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-475809772.581,30261572.6493,-473279560.07,-430441070.323,-531485349.536,-517304047.105,-433073447.279,10.0,915762779207000.0,0.124990974078,0.00195651768399,0.124999315018,0.125226860254,2.4762864257000002e-14,101
