smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,521103414.585,7996.55803562,521103414.585,521109069.005,521097760.164,521098325.606,521108503.563,2.0,63944940.417,26,1.83230531396e-13,0.249996504259,0.00391384975812,0.125226860254,0.125018050542
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,448140293.573,575030.831472,448140293.573,448546901.773,447733685.372,447774346.192,448506240.953,2.0,330660457143.0,51,1.83230531396e-13,0.250003495741,0.00391395921408,0.125226860254,0.125018050542
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,375443598.695,101687.438664,375443598.695,375515502.572,375371694.817,375378885.205,375508312.185,2.0,10340335182.0,76,1.83230531396e-13,0.250003495741,0.00391395921408,0.125226860254,0.125018050542
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,304325182.062,548023.08258,304325182.062,304712692.9,303937671.224,303976422.308,304673941.816,2.0,300329299041.0,32,1.83230531396e-13,0.249996504259,0.0156531386514,0.250453720508,0.25
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,302890197.634,212953.911606,302890197.634,303040778.789,302739616.479,302754674.595,303025720.674,2.0,45349368468.2,101,1.83230531396e-13,0.125001398296,0.00195697413424,0.125226860254,0.125018050542
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,231930054.075,473737.504124,231930054.075,232265037.077,231595071.074,231628569.374,232231538.777,2.0,224427222814.0,57,1.83230531396e-13,0.250003495741,0.0156535764121,0.250453720508,0.25
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,217909380.207,1596041.03035,217909380.207,219037951.642,216780808.771,216893665.915,218925094.499,2.0,2547346970560.0,2,1.83230531396e-13,0.124995105963,0.00391318616671,0.125226860254,0.25
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,207408581.86,346378.165615,207408581.86,207653508.21,207163655.51,207188148.145,207629015.575,2.0,119977833615.0,27,1.83230531396e-13,0.249996504259,0.00782656932572,0.125226860254,0.25
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,159438164.466,296829.640056,159438164.466,159648054.718,159228274.215,159249263.24,159627065.693,2.0,88107835215.8,82,1.83230531396e-13,0.250003495741,0.0156535764121,0.250453720508,0.25
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,135713278.522,463535.543622,135713278.522,136041047.648,135385509.396,135418286.309,136008270.736,2.0,214865200201.0,52,1.83230531396e-13,0.250003495741,0.00782678820604,0.125226860254,0.25
