smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,364285265.773,45781.6122601,364285265.773,364317638.261,364252893.284,364256130.533,364314401.012,2.0,2095956021.13,0.125226860254,0.00391384975812,0.125018050542,0.249996504259,1.83230531396e-13,26
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,289486122.998,484337.772976,289486122.998,289828601.522,289143644.475,289177892.327,289794353.67,2.0,234583078331.0,0.125226860254,0.00391395921408,0.125018050542,0.250003495741,1.83230531396e-13,51
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,213981036.813,202425.490019,213981036.813,214124173.25,213837900.377,213852214.02,214109859.606,2.0,40976079009.3,0.125226860254,0.00391395921408,0.125018050542,0.250003495741,1.83230531396e-13,76
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,139133229.503,92208.9164187,139133229.503,139198431.053,139068027.953,139074548.108,139191910.898,2.0,8502484267.11,0.125226860254,0.00195697413424,0.125018050542,0.125001398296,1.83230531396e-13,101
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,103214110.898,334860.769496,103214110.898,103450893.218,102977328.577,103001006.809,103427214.986,2.0,112131734947.0,0.250453720508,0.0156531386514,0.25,0.249996504259,1.83230531396e-13,32
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,27854830.8189,1070742.20135,27854830.8189,28611959.8903,27097701.7474,27173414.6545,28536246.9832,2.0,1146488861760.0,0.250453720508,0.0156535764121,0.25,0.250003495741,1.83230531396e-13,57
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,18918020.7404,2203076.1157,18918020.7404,20475830.8013,17360210.6795,17515991.6856,20320049.7952,2.0,4853544371570.0,0.125226860254,0.00391318616671,0.25,0.124995105963,1.83230531396e-13,2
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-8546651.14406,5818.20861419,-8546651.14406,-8542537.0493,-8550765.23883,-8550353.82935,-8542948.45877,2.0,33851551.4783,0.125226860254,0.00782656932572,0.25,0.249996504259,1.83230531396e-13,27
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-48355930.0142,416309.218725,-48355930.0142,-48061554.9425,-48650305.0858,-48620867.5786,-48090992.4497,2.0,173313365595.0,0.250453720508,0.0156535764121,0.25,0.250003495741,1.83230531396e-13,82
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-85114032.0733,415585.925506,-85114032.0733,-84820168.4472,-85407895.6994,-85378509.3368,-84849554.8098,2.0,172711661478.0,0.125226860254,0.00782678820604,0.25,0.250003495741,1.83230531396e-13,52
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-120316409.815,31278.8382082,-120316409.815,-120294292.336,-120338527.294,-120336315.546,-120296504.084,2.0,978365719.657,0.250453720508,0.00782676631801,0.25,0.125001398296,1.83230531396e-13,107
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-147342055.337,768874.875207,-147342055.337,-146798378.699,-147885731.976,-147831364.312,-146852746.363,2.0,591168573724.0,0.249546279492,0.0155941721897,0.249963898917,0.249996504259,1.83230531396e-13,38
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-160407997.274,1884166.79719,-160407997.274,-159075690.154,-161740304.393,-161607073.681,-159208920.866,2.0,3550084519620.0,0.125226860254,0.00782678820604,0.25,0.250003495741,1.83230531396e-13,77
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-224328245.585,482409.436804,-224328245.585,-223987130.601,-224669360.569,-224635249.07,-224021242.099,2.0,232718864718.0,0.249546279492,0.0155946083013,0.249963898917,0.250003495741,1.83230531396e-13,63
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-234040528.843,894079.723135,-234040528.843,-233408319.008,-234672738.678,-234609517.695,-233471539.991,2.0,799378551321.0,0.250453720508,0.00782524217136,0.249963898917,0.124995105963,1.83230531396e-13,8
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-236361616.015,2797838.61182,-236361616.015,-234383245.36,-238339986.67,-238142149.604,-234581082.425,2.0,7827900897800.0,0.125226860254,0.003913383159,0.25,0.125001398296,1.83230531396e-13,102
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-265020594.448,2119760.38313,-265020594.448,-263521697.507,-266519491.39,-266369601.695,-263671587.201,2.0,4493384081880.0,0.250453720508,0.0156508782704,0.249963898917,0.249996504259,1.83230531396e-13,33
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-303413438.154,950198.178056,-303413438.154,-302741546.579,-304085329.729,-304018140.572,-302808735.736,2.0,902876577582.0,0.249546279492,0.0155946083013,0.249963898917,0.250003495741,1.83230531396e-13,88
