smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,416564091.027,989543.715658,416564091.027,417263804.099,415864377.956,415934349.263,417193832.792,2.0,979196765199.0,0.249996504259,26,0.125018050542,0.125226860254,1.83230531396e-13,0.00391384975812
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,345833621.214,684752.904214,345833621.214,346317814.636,345349427.792,345397847.134,346269395.294,2.0,468886539829.0,0.250003495741,51,0.125018050542,0.125226860254,1.83230531396e-13,0.00391395921408
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,298553119.296,3301878.11337,298553119.296,300887899.701,296218338.892,296451816.932,300654421.661,2.0,10902399075500.0,0.249996504259,32,0.25,0.250453720508,1.83230531396e-13,0.0156531386514
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,274540472.206,745258.251862,274540472.206,275067449.37,274013495.043,274066192.759,275014751.654,2.0,555409861968.0,0.250003495741,76,0.125018050542,0.125226860254,1.83230531396e-13,0.00391395921408
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,228003055.123,2497801.29509,228003055.123,229769267.357,226236842.889,226413464.113,229592646.133,2.0,6239011309780.0,0.250003495741,57,0.25,0.250453720508,1.83230531396e-13,0.0156535764121
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,217773900.227,1036843.28064,217773900.227,218507059.142,217040741.313,217114057.204,218433743.251,2.0,1075043988620.0,0.249996504259,27,0.25,0.125226860254,1.83230531396e-13,0.00782656932572
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,209660897.436,290388.190872,209660897.436,209866232.895,209455561.977,209476095.523,209845699.349,2.0,84325301397.8,0.124995105963,2,0.25,0.125226860254,1.83230531396e-13,0.00391318616671
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,203811214.028,412802.031813,203811214.028,204103109.144,203519318.912,203548508.424,204073919.633,2.0,170405517469.0,0.125001398296,101,0.125018050542,0.125226860254,1.83230531396e-13,0.00195697413424
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,194704865.124,188461.932381,194704865.124,194838127.834,194571602.413,194584928.684,194824801.563,2.0,35517899956.8,0.249996504259,38,0.249963898917,0.249546279492,1.83230531396e-13,0.0155941721897
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,166595794.395,1363891.34168,166595794.395,167560211.211,165631377.578,165727819.26,167463769.53,2.0,1860199591910.0,0.124995105963,19,0.25,0.249546279492,1.83230531396e-13,0.00779801591193
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,158626848.332,2346772.66355,158626848.332,160286267.196,156967429.467,157133371.354,160120325.31,2.0,5507341934370.0,0.250003495741,82,0.25,0.250453720508,1.83230531396e-13,0.0156535764121
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,147747961.562,1127922.54281,147747961.562,148545523.241,146950399.884,147030156.051,148465767.073,2.0,1272209262580.0,0.250003495741,52,0.25,0.125226860254,1.83230531396e-13,0.00782678820604
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,117657667.84,3595150.25167,117657667.84,120199822.962,115115512.717,115369728.23,119945607.45,2.0,12925105332100.0,0.250003495741,63,0.249963898917,0.249546279492,1.83230531396e-13,0.0155946083013
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,103406636.451,1396582.62319,103406636.451,104394169.495,102419103.408,102517856.712,104295416.19,2.0,1950443023380.0,0.249996504259,33,0.249963898917,0.250453720508,1.83230531396e-13,0.0156508782704
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,98239237.8255,3047604.84028,98239237.8255,100394219.874,96084255.7765,96299753.9814,100178721.67,2.0,9287895262470.0,0.124995105963,8,0.249963898917,0.250453720508,1.83230531396e-13,0.00782524217136
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,93694727.269,2400290.3765,93694727.269,95391988.871,91997465.6669,92167191.8271,95222262.7108,2.0,5761393891530.0,0.124995105963,25,0.125018050542,0.125226860254,1.83230531396e-13,0.00195687562387
