smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,390413966.611,170696.907194,390413966.611,390534667.552,390293265.671,390305335.765,390522597.458,2.0,29137434125.5,0.00391384975812,26,0.125226860254,1.83230531396e-13,0.249996504259,0.125018050542
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,317520381.551,69250.750031,317520381.551,317569349.225,317471413.876,317476310.643,317564452.458,2.0,4795666379.85,0.00391395921408,51,0.125226860254,1.83230531396e-13,0.250003495741,0.125018050542
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,244943543.6,298217.346984,244943543.6,245154415.109,244732672.092,244753759.243,245133327.958,2.0,88933586042.1,0.00391395921408,76,0.125226860254,1.83230531396e-13,0.250003495741,0.125018050542
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,198887813.576,240568.23015,198887813.576,199057921.003,198717706.149,198734716.892,199040910.26,2.0,57873073357.7,0.0156531386514,32,0.250453720508,1.83230531396e-13,0.249996504259,0.25
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,171530674.622,36214.7415538,171530674.622,171556282.311,171505066.932,171507627.701,171553721.542,2.0,1311507505.81,0.00195697413424,101,0.125226860254,1.83230531396e-13,0.125001398296,0.125018050542
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,127050548.97,1137033.15677,127050548.97,127854552.826,126246545.115,126326945.5,127774152.44,2.0,1292844399590.0,0.0156535764121,57,0.250453720508,1.83230531396e-13,0.250003495741,0.25
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,114416594.236,2010948.91309,114416594.236,115838549.849,112994638.623,113136834.185,115696354.288,2.0,4043915531040.0,0.00391318616671,2,0.125226860254,1.83230531396e-13,0.124995105963,0.25
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,104070990.621,1083540.63797,104070990.621,104837169.554,103304811.689,103381429.582,104760551.661,2.0,1174060314120.0,0.00782656932572,27,0.125226860254,1.83230531396e-13,0.249996504259,0.25
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,53953905.5112,1688307.76523,53953905.5112,55147719.3807,52760091.6417,52879473.0287,55028337.9938,2.0,2850383110120.0,0.0156535764121,82,0.250453720508,1.83230531396e-13,0.250003495741,0.25
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,32599609.2751,1255591.1076,32599609.2751,33487446.2616,31711772.2885,31800555.9871,33398662.563,2.0,1576509029490.0,0.00782678820604,52,0.125226860254,1.83230531396e-13,0.250003495741,0.25
