smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,390284975.133,33499.9056719,390284975.133,390308663.143,390261287.122,390263655.923,390306294.342,2.0,1122243680.03,0.125226860254,1.83230531396e-13,0.00391384975812,26,0.125018050542,0.249996504259
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,317992774.184,290870.735766,317992774.184,318198450.853,317787097.514,317807665.181,318177883.186,2.0,84605784925.0,0.125226860254,1.83230531396e-13,0.00391395921408,51,0.125018050542,0.250003495741
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,244553962.531,46941.4726228,244553962.531,244587155.165,244520769.897,244524089.161,244583835.901,2.0,2203501852.0,0.125226860254,1.83230531396e-13,0.00391395921408,76,0.125018050542,0.250003495741
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,198811834.467,471386.261465,198811834.467,199145154.889,198478514.045,198511846.087,199111822.847,2.0,222205007498.0,0.250453720508,1.83230531396e-13,0.0156531386514,32,0.25,0.249996504259
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,171437360.011,814615.042372,171437360.011,172013379.832,170861340.191,170918942.173,171955777.85,2.0,663597667258.0,0.125226860254,1.83230531396e-13,0.00195697413424,101,0.125018050542,0.125001398296
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,127992549.404,238624.365466,127992549.404,128161282.311,127823816.497,127840689.788,128144409.021,2.0,56941587794.0,0.250453720508,1.83230531396e-13,0.0156535764121,57,0.25,0.250003495741
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,114422260.079,1100113.74525,114422260.079,115200157.968,113644362.19,113722151.979,115122368.18,2.0,1210250252490.0,0.125226860254,1.83230531396e-13,0.00391318616671,2,0.25,0.124995105963
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,105302246.294,1159701.3325,105302246.294,106122278.971,104482213.618,104564216.886,106040275.703,2.0,1344907180610.0,0.125226860254,1.83230531396e-13,0.00782656932572,27,0.25,0.249996504259
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,54164734.246,473618.576391,54164734.246,54499633.1531,53829835.3389,53863325.2296,54466143.2624,2.0,224314555903.0,0.250453720508,1.83230531396e-13,0.0156535764121,82,0.25,0.250003495741
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,30223781.1436,1249525.99282,30223781.1436,31107329.4464,29340232.8408,29428587.6711,31018974.6161,2.0,1561315206740.0,0.125226860254,1.83230531396e-13,0.00782678820604,52,0.25,0.250003495741
