smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,923725988.396,2953508.66543,923725988.396,925814434.402,921637542.39,921846386.991,925605589.801,2.0,8723213436750.0,0.125,1,0.00195307114064,0.125,0.124996553001,6.12351299001e-14
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,817636323.025,69612.2331793,817636323.025,817685546.307,817587099.743,817592022.071,817680623.979,2.0,4845863008.2,0.125,26,0.00390621152903,0.125,0.249997537858,6.12351299001e-14
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,714114770.417,1178500.52097,714114770.417,714948096.127,713281444.707,713364777.278,714864763.556,2.0,1388863477920.0,0.125,51,0.00390628847097,0.125,0.250002462142,6.12351299001e-14
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,630308653.11,6782202.32897,630308653.11,635104394.368,625512911.852,625992485.978,634624820.242,2.0,45998268431100.0,0.25,7,0.00781228456257,0.25,0.124996553001,6.12351299001e-14
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,761540.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,608890680.437,197544.803948,608890680.437,609030365.708,608750995.167,608764963.694,609016397.181,2.0,39023949567.0,0.125,76,0.00390628847097,0.125,0.250002462142,6.12351299001e-14
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,528636914.465,653565.430652,528636914.465,529099055.013,528174773.917,528220987.972,529052840.959,2.0,427147772144.0,0.25,32,0.0156248461161,0.25,0.249997537858,6.12351299001e-14
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,1015386.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,507022783.384,870275.552231,507022783.384,507638161.129,506407405.64,506468943.414,507576623.354,2.0,757379536811.0,0.125,101,0.00195314038839,0.125,0.125000984857,6.12351299001e-14
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,427822047.471,2374287.20179,427822047.471,429500922.052,426143172.89,426311060.348,429333034.594,2.0,5637239716600.0,0.25,57,0.0156251538839,0.25,0.250002462142,6.12351299001e-14
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,408414518.956,5953213.61947,408414518.956,412624076.677,404204961.236,404625917.008,412203120.904,2.0,35440752399000.0,0.125,2,0.00390614228128,0.25,0.124996553001,6.12351299001e-14
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,390821937.526,112442.522179,390821937.526,390901446.396,390742428.656,390750379.543,390893495.509,2.0,12643320793.9,0.125,27,0.00781242305806,0.25,0.249997537858,6.12351299001e-14
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,352378972.25,11982264.4049,352378972.25,360851712.664,343906231.835,344753505.876,360004438.623,2.0,143574660270000.0,0.25,13,0.00781228456257,0.25,0.124996553001,6.12351299001e-14
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,761540.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,319357121.814,217678.308182,319357121.814,319511043.622,319203200.006,319218592.187,319495651.441,2.0,47383845853.1,0.25,82,0.0156251538839,0.25,0.250002462142,6.12351299001e-14
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,286226341.285,398379.632628,286226341.285,286508038.225,285944644.345,285972814.039,286479868.531,2.0,158706331693.0,0.125,52,0.00781257694194,0.25,0.250002462142,6.12351299001e-14
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,252577440.09,225405.102154,252577440.09,252736825.566,252418054.613,252433993.161,252720887.018,2.0,50807460077.0,0.25,38,0.0156248461161,0.25,0.249997537858,6.12351299001e-14
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,1015386.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,216789507.874,740366.55431,216789507.874,217313026.085,216265989.663,216318341.484,217260674.264,2.0,548142634741.0,0.25,107,0.00781256155355,0.25,0.125000984857,6.12351299001e-14
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,761540.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,183378358.616,7062390.01786,183378358.616,188372222.489,178384494.743,178883881.131,187872836.102,2.0,49877352764300.0,0.125,77,0.00781257694194,0.25,0.250002462142,6.12351299001e-14
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,141562589.866,2351633.11423,141562589.866,143225445.588,139899734.144,140066019.717,143059160.016,2.0,5530178303970.0,0.25,63,0.0156251538839,0.25,0.250002462142,6.12351299001e-14
1200.0,-747.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,121271953.764,1158408.27815,121271953.764,122091072.113,120452835.415,120534747.25,122009160.278,2.0,1341909738880.0,0.25,8,0.00781228456257,0.25,0.124996553001,6.12351299001e-14
1200.0,-747.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,98641224.7939,1817353.73138,98641224.7939,99926287.9412,97356161.6466,97484667.9614,99797781.6265,2.0,3302774584980.0,0.25,33,0.0156248461161,0.25,0.249997537858,6.12351299001e-14
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,87071664.6338,3705386.99681,87071664.6338,89691768.9062,84451560.3615,84713570.7887,89429758.479,2.0,13729892796200.0,0.25,19,0.00781228456257,0.25,0.124996553001,6.12351299001e-14
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,1015386.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,78987392.3738,1304847.47639,78987392.3738,79910058.8728,78064725.8748,78156992.5247,79817792.2229,2.0,1702626936650.0,0.125,102,0.00390628077678,0.25,0.125000984857,6.12351299001e-14
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,761540.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,35153224.892,7306899.84353,35153224.892,40319983.3208,29986466.4632,30503142.3061,39803307.4779,2.0,53390785323400.0,0.25,88,0.0156251538839,0.25,0.250002462142,6.12351299001e-14
1200.0,-747.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-4612473.71895,3754581.69457,-4612473.71895,-1957583.5422,-7267363.8957,-7001874.87803,-2223072.55988,2.0,14096883701200.0,0.25,58,0.0156251538839,0.25,0.250002462142,6.12351299001e-14
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-12429969.8778,1006988.16876,-12429969.8778,-11717921.7151,-13142018.0405,-13070813.2242,-11789126.5314,2.0,1014025172020.0,0.25,44,0.0156248461161,0.25,0.249997537858,6.12351299001e-14
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,1015386.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-63833428.5658,7268826.90224,-63833428.5658,-58693591.772,-68973265.3597,-68459281.6803,-59207575.4514,2.0,52835844534800.0,0.25,113,0.00781256155355,0.25,0.125000984857,6.12351299001e-14
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-85132370.3965,8472021.0425,-85132370.3965,-79141746.867,-91122993.926,-90523931.5731,-79740809.22,2.0,71775140544500.0,0.125,28,0.00781242305806,0.25,0.249997537858,6.12351299001e-14
1200.0,-747.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,761540.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-110560090.552,4362534.82798,-110560090.552,-107475312.592,-113644868.512,-113336390.716,-107783790.388,2.0,19031710125300.0,0.25,83,0.0156251538839,0.25,0.250002462142,6.12351299001e-14
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-112235700.38,1301077.85163,-112235700.38,-111315699.408,-113155701.351,-113063701.254,-111407699.505,2.0,1692803576010.0,0.125,3,0.00390614228128,0.25,0.124996553001,6.12351299001e-14
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-120673696.027,3643412.96393,-120673696.027,-118097414.013,-123249978.04,-122992349.839,-118355042.215,2.0,13274458025700.0,0.25,69,0.0156251538839,0.25,0.250002462142,6.12351299001e-14
