smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-165564259.856,328582.100573,-165564259.856,-165331917.224,-165796602.487,-165773368.224,-165355151.487,2.0,107966196817.0,0.125,0.125039974416,0.124981296198,1.28632009175e-11,1,0.0019534572599
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-186312349.403,856728.781899,-186312349.403,-185706550.672,-186918148.134,-186857568.261,-185767130.545,2.0,733984205734.0,0.125,0.125039974416,0.249987530799,1.28632009175e-11,26,0.00390730430694
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-203226956.249,1408235.5313,-203226956.249,-202231183.356,-204222729.143,-204123151.854,-202330760.645,2.0,1983127311630.0,0.25,0.249920051167,0.124981296198,1.28632009175e-11,7,0.00780883298521
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-206509244.46,381875.413058,-206509244.46,-206239217.766,-206779271.154,-206752268.485,-206266220.435,2.0,145828831098.0,0.125,0.125039974416,0.250012469201,1.28632009175e-11,51,0.00390769409408
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-223833588.174,162129.145481,-223833588.174,-223718945.556,-223948230.793,-223936766.531,-223730409.818,2.0,26285859814.5,0.25,0.249920051167,0.249987530799,1.28632009175e-11,32,0.0156192241221
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-226852764.024,324655.066559,-226852764.024,-226623198.225,-227082329.823,-227059373.243,-226646154.804,2.0,105400912243.0,0.125,0.125039974416,0.250012469201,1.28632009175e-11,76,0.00390769409408
240.0,-125.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-238355747.79,943133.491851,-238355747.79,-237688851.702,-239022643.877,-238955954.268,-237755541.311,2.0,889500783452.0,0.25,0.249920051167,0.124981296198,1.28632009175e-11,13,0.00780883298521
240.0,-187.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-241256749.472,159635.332564,-241256749.472,-241143870.246,-241369628.698,-241358340.775,-241155158.168,2.0,25483439402.8,0.125,0.249920051167,0.124981296198,1.28632009175e-11,2,0.00390441649261
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-244202446.509,484039.256863,-244202446.509,-243860179.068,-244544713.95,-244510487.205,-243894405.812,2.0,234294002185.0,0.25,0.249920051167,0.250012469201,1.28632009175e-11,57,0.0156207822738
240.0,-187.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-246803731.368,158629.724525,-246803731.368,-246691563.215,-246915899.522,-246904682.707,-246702780.03,2.0,25163389503.0,0.125,0.249920051167,0.249987530799,1.28632009175e-11,27,0.00780961206106
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-247403366.327,381559.60231,-247403366.327,-247133562.945,-247673169.709,-247646189.371,-247160543.283,2.0,145587730115.0,0.125,0.125039974416,0.125006234601,1.28632009175e-11,101,0.00195384704704
240.0,-125.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-259143432.809,238670.978819,-259143432.809,-258974666.941,-259312198.677,-259295322.09,-258991543.528,2.0,56963836130.5,0.25,0.249920051167,0.249987530799,1.28632009175e-11,38,0.0156192241221
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-264145017.444,455641.251717,-264145017.444,-263822830.425,-264467204.463,-264434985.761,-263855049.127,2.0,207608950266.0,0.25,0.249920051167,0.250012469201,1.28632009175e-11,82,0.0156207822738
240.0,-187.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-267225029.418,211182.343613,-267225029.418,-267075700.951,-267374357.886,-267359425.039,-267090633.798,2.0,44597982253.8,0.125,0.249920051167,0.250012469201,1.28632009175e-11,52,0.0078103911369
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-270287083.051,228310.98515,-270287083.051,-270125642.805,-270448523.296,-270432379.272,-270141786.829,2.0,52125905940.0,0.25,0.250079948833,0.124981296198,1.28632009175e-11,19,0.00781382903959
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-275493010.576,1264735.34962,-275493010.576,-274598707.634,-276387313.518,-276297883.224,-274688137.928,2.0,1599555504570.0,0.25,0.249920051167,0.124981296198,1.28632009175e-11,8,0.00780883298521
240.0,-125.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-278575728.006,784214.943461,-278575728.006,-278021204.302,-279130251.71,-279074799.34,-278076656.672,2.0,614993077547.0,0.25,0.249920051167,0.250012469201,1.28632009175e-11,63,0.0156207822738
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-282399840.302,192181.054713,-282399840.302,-282263947.775,-282535732.829,-282522143.577,-282277537.028,2.0,36933557790.6,0.25,0.249920051167,0.249987530799,1.28632009175e-11,33,0.0156192241221
