smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1174781839.85,410869.367516,-1174781839.85,-1174491311.34,-1175072368.37,-1175043315.52,-1174520364.19,2.0,168813637163.0,1,0.0714285714286,1.07010398565e-12,0.0003644396277,0.0714113745622,0.0714473684211
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1191051875.31,117422.568198,-1191051875.31,-1190968845.01,-1191134905.6,-1191126602.57,-1190977148.04,2.0,13788059522.3,65,0.0714285714286,1.07010398565e-12,0.000728988250394,0.142844106523,0.0714473684211
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1208473356.03,489968.506034,-1208473356.03,-1208126895.97,-1208819816.08,-1208785170.07,-1208161541.98,2.0,240069136905.0,129,0.0714285714286,1.07010398565e-12,0.000729087336753,0.14286352234,0.0714473684211
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,110371.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1225370919.92,576101.911992,-1225370919.92,-1224963554.36,-1225778285.49,-1225737548.94,-1225004290.91,2.0,331893413001.0,193,0.0714285714286,1.07010398565e-12,0.000729077428117,0.142861580758,0.0714473684211
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,147161.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1242035773.54,60557.289605,-1242035773.54,-1241992953.07,-1242078594.01,-1242074311.96,-1241997235.12,2.0,3667185324.3,257,0.0714285714286,1.07010398565e-12,0.000729087336753,0.14286352234,0.0714473684211
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,183952.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1258402838.89,223023.893406,-1258402838.89,-1258245137.18,-1258560540.59,-1258544770.42,-1258260907.35,2.0,49739657030.0,321,0.0714285714286,1.07010398565e-12,0.000729087336753,0.14286352234,0.0714473684211
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,220742.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1276540520.73,99464.4608282,-1276540520.73,-1276470188.74,-1276610852.73,-1276603819.53,-1276477221.94,2.0,9893178967.85,385,0.0714285714286,1.07010398565e-12,0.000729077428117,0.142861580758,0.0714473684211
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1307606342.9,1131650.40558,-1307606342.9,-1306806145.22,-1308406540.57,-1308326520.8,-1306886164.99,2.0,1280632640450.0,66,0.142857142857,1.07010398565e-12,0.00145797650079,0.142844106523,0.0714473684211
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1319122444.99,237438.451745,-1319122444.99,-1318954550.65,-1319290339.33,-1319273549.89,-1318971340.08,2.0,56377018367.1,2,0.142857142857,1.07010398565e-12,0.0007288792554,0.0714113745622,0.0714473684211
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1323653489.71,363128.666703,-1323653489.71,-1323396718.96,-1323910260.45,-1323884583.38,-1323422396.04,2.0,131862428581.0,130,0.142857142857,1.07010398565e-12,0.00145817467351,0.14286352234,0.0714473684211
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,110371.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1341012990.89,14390.8233546,-1341012990.89,-1341002815.04,-1341023166.74,-1341022149.15,-1341003832.62,2.0,207095796.822,194,0.142857142857,1.07010398565e-12,0.00145815485623,0.142861580758,0.0714473684211
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,147161.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1358601839.21,565246.151153,-1358601839.21,-1358202149.83,-1359001528.6,-1358961559.66,-1358242118.77,2.0,319503211393.0,258,0.142857142857,1.07010398565e-12,0.00145817467351,0.14286352234,0.0714473684211
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,183952.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1375374470.49,1151978.29331,-1375374470.49,-1374559898.83,-1376189042.16,-1376107584.99,-1374641356.0,2.0,1327053988270.0,322,0.142857142857,1.07010398565e-12,0.00145817467351,0.14286352234,0.0714473684211
480.0,-372.7,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1386188910.21,1203183.51002,-1386188910.21,-1385338130.99,-1387039689.43,-1386954611.5,-1385423208.91,2.0,1447650558780.0,75,0.142857142857,1.07010398565e-12,0.00291595300158,0.142844106523,0.142894736842
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,220742.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1391705748.42,591861.370296,-1391705748.42,-1391287239.23,-1392124257.61,-1392082406.69,-1391329090.15,2.0,350299881649.0,386,0.142857142857,1.07010398565e-12,0.00145815485623,0.142861580758,0.0714473684211
480.0,-372.7,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1397097107.01,1281283.98198,-1397097107.01,-1396191102.42,-1398003111.61,-1397912511.15,-1396281702.88,2.0,1641688642480.0,11,0.142857142857,1.07010398565e-12,0.0014577585108,0.0714113745622,0.142894736842
480.0,-372.7,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1401705795.01,128623.79834,-1401705795.01,-1401614844.25,-1401796745.77,-1401787650.69,-1401623939.32,2.0,16544081499.4,139,0.142857142857,1.07010398565e-12,0.00291634934701,0.14286352234,0.142894736842
480.0,-372.7,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,110371.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1419700396.8,694844.60143,-1419700396.8,-1419209067.47,-1420191726.13,-1420142593.19,-1419258200.4,2.0,482809020136.0,203,0.142857142857,1.07010398565e-12,0.00291630971247,0.142861580758,0.142894736842
480.0,-427.0,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1428230675.17,590326.491337,-1428230675.17,-1427813251.3,-1428648099.03,-1428606356.65,-1427854993.69,2.0,348485366375.0,67,0.142857142857,1.07010398565e-12,0.00145797650079,0.142844106523,0.0714473684211
480.0,-372.7,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,147161.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1437329941.52,1391296.23803,-1437329941.52,-1436346146.52,-1438313736.53,-1438215357.03,-1436444526.02,2.0,1935705221960.0,267,0.142857142857,1.07010398565e-12,0.00291634934701,0.14286352234,0.142894736842
480.0,-427.0,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1446701529.88,406841.746039,-1446701529.88,-1446413849.32,-1446989210.44,-1446960442.38,-1446442617.38,2.0,165520206320.0,131,0.142857142857,1.07010398565e-12,0.00145817467351,0.14286352234,0.0714473684211
480.0,-372.7,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,183952.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1452907007.3,741576.59272,-1452907007.3,-1452382633.46,-1453431381.13,-1453378943.75,-1452435070.84,2.0,549935842871.0,331,0.142857142857,1.07010398565e-12,0.00291634934701,0.14286352234,0.142894736842
480.0,-427.0,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1461040010.76,1923201.72359,-1461040010.76,-1459680101.78,-1462399919.74,-1462263928.84,-1459816092.68,2.0,3698704869620.0,3,0.142857142857,1.07010398565e-12,0.0007288792554,0.0714113745622,0.0714473684211
480.0,-318.4,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1462286001.22,337744.015609,-1462286001.22,-1462047180.14,-1462524822.31,-1462500940.2,-1462071062.25,2.0,114071020080.0,84,0.142857142857,1.07010398565e-12,0.00291595300158,0.142844106523,0.142894736842
