smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,639255999.176,573044.675548,639255999.176,639661202.952,638850795.4,638891315.777,639620682.574,2.0,328380200174.0,26,1.83230531396e-13,0.125018050542,0.00391384975812,0.249996504259,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,566582579.792,331991.806525,566582579.792,566817333.45,566347826.134,566371301.5,566793858.084,2.0,110218559600.0,51,1.83230531396e-13,0.125018050542,0.00391395921408,0.250003495741,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,493728160.071,133057.149702,493728160.071,493822245.684,493634074.458,493643483.019,493812837.122,2.0,17704205086.8,76,1.83230531396e-13,0.125018050542,0.00391395921408,0.250003495741,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,420258648.474,248286.853571,420258648.474,420434213.792,420083083.156,420100639.688,420416657.26,2.0,61646361656.0,101,1.83230531396e-13,0.125018050542,0.00195697413424,0.125001398296,0.125226860254
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,398446872.846,2532210.83441,398446872.846,400237416.298,396656329.393,396835383.738,400058361.953,2.0,6412091709920.0,32,1.83230531396e-13,0.25,0.0156531386514,0.249996504259,0.250453720508
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,326088930.314,12395.7002952,326088930.314,326097695.397,326080165.23,326081041.738,326096818.889,2.0,153653385.809,57,1.83230531396e-13,0.25,0.0156535764121,0.250003495741,0.250453720508
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,312649478.787,2517410.29775,312649478.787,314429556.68,310869400.894,311047408.684,314251548.89,2.0,6337354607230.0,2,1.83230531396e-13,0.25,0.00391318616671,0.124995105963,0.125226860254
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,302978134.414,389614.516121,302978134.414,303253633.481,302702635.348,302730185.255,303226083.574,2.0,151799471172.0,27,1.83230531396e-13,0.25,0.00782656932572,0.249996504259,0.125226860254
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,251389453.434,694411.266406,251389453.434,251880476.349,250898430.519,250947532.81,251831374.058,2.0,482207006911.0,82,1.83230531396e-13,0.25,0.0156535764121,0.250003495741,0.250453720508
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,229368450.9,744802.150923,229368450.9,229895105.552,228841796.249,228894461.714,229842440.087,2.0,554730244020.0,52,1.83230531396e-13,0.25,0.00782678820604,0.250003495741,0.125226860254
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,179387982.453,1688869.66764,179387982.453,180582193.648,178193771.259,178313192.378,180462772.528,2.0,2852280754290.0,107,1.83230531396e-13,0.25,0.00782676631801,0.125001398296,0.250453720508
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,166810169.476,857985.625669,166810169.476,167416856.93,166203482.022,166264150.767,167356188.185,2.0,736139333855.0,38,1.83230531396e-13,0.249963898917,0.0155941721897,0.249996504259,0.249546279492
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,156332363.46,128816.561859,156332363.46,156423450.525,156241276.396,156250385.103,156414341.818,2.0,16593706609.3,77,1.83230531396e-13,0.25,0.00782678820604,0.250003495741,0.125226860254
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,94990783.0193,6311990.93541,94990783.0193,99454034.6125,90527531.426,90973856.5854,99007709.4532,2.0,39841229568700.0,63,1.83230531396e-13,0.249963898917,0.0155946083013,0.250003495741,0.249546279492
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,79400343.7598,2261126.0079,79400343.7598,80999201.2931,77801486.2265,77961371.9798,80839315.5398,2.0,5112690823590.0,8,1.83230531396e-13,0.249963898917,0.00782524217136,0.124995105963,0.250453720508
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,79079695.36,1714623.35744,79079695.36,80292117.1632,77867273.5568,77988515.7371,80170874.9829,2.0,2939933257870.0,102,1.83230531396e-13,0.25,0.003913383159,0.125001398296,0.125226860254
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,61355312.8835,746918.379329,61355312.8835,61883463.9345,60827161.8325,60879976.9376,61830648.8294,2.0,557887065379.0,33,1.83230531396e-13,0.249963898917,0.0156508782704,0.249996504259,0.250453720508
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,24100946.3529,2942342.23227,24100946.3529,26181496.4979,22020396.2079,22228451.2224,25973441.4834,2.0,8657377811780.0,19,1.83230531396e-13,0.25,0.00779801591193,0.124995105963,0.249546279492
