smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,547822221.565,117574.202248,547822221.565,547905359.081,547739084.049,547747397.801,547897045.329,2.0,13823693034.2,0.249993707579,26,3.66466187075e-13,0.125018050542,0.00391380597435,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,499776907.983,28041.0953204,499776907.983,499796736.032,499757079.934,499759062.739,499794753.227,2.0,786303026.77,0.250006292421,51,3.66466187075e-13,0.125018050542,0.00391400299785,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,451888659.107,62614.4550865,451888659.107,451932934.213,451844384.001,451848811.512,451928506.702,2.0,3920569985.78,0.250006292421,76,3.66466187075e-13,0.125018050542,0.00391400299785,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,404074090.846,113726.124383,404074090.846,404154507.36,403993674.332,404001715.984,404146465.709,2.0,12933631367.3,0.125003845369,101,3.66466187075e-13,0.125018050542,0.00195701244467,0.125226860254
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,254960035.357,834245.099208,254960035.357,255549935.723,254370134.99,254429125.026,255490945.687,2.0,695964885552.0,0.249993707579,32,3.66466187075e-13,0.25,0.0156529635417,0.250453720508
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,206688643.976,1131950.37834,206688643.976,207489053.765,205888234.188,205968275.166,207409012.786,2.0,1281311659020.0,0.250006292421,57,3.66466187075e-13,0.25,0.0156537515218,0.250453720508
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,159179407.91,238399.286448,159179407.91,159347981.662,159010834.158,159027691.533,159331124.287,2.0,56834219778.7,0.250006292421,82,3.66466187075e-13,0.25,0.0156537515218,0.250453720508
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,131548615.097,413947.927983,131548615.097,131841320.484,131255909.71,131285180.249,131812049.945,2.0,171352887082.0,0.249993707579,27,3.66466187075e-13,0.25,0.00782648177084,0.125226860254
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,122964454.064,338710.364972,122964454.064,123203958.46,122724949.668,122748900.107,123180008.02,2.0,114724711339.0,0.12498986221,2,3.66466187075e-13,0.25,0.00391302200204,0.125226860254
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,110648898.391,1633877.93674,110648898.391,111804224.56,109493572.222,109609104.839,111688691.943,2.0,2669557112160.0,0.125003845369,107,3.66466187075e-13,0.25,0.0078269195376,0.250453720508
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,84574869.2292,95950.4316041,84574869.2292,84642716.4301,84507022.0284,84513806.7485,84635931.71,2.0,9206485325.01,0.250006292421,52,3.66466187075e-13,0.25,0.00782687576092,0.125226860254
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,34778807.6758,1389799.08871,34778807.6758,35761544.0359,33796071.3156,33894344.9517,35663270.3999,2.0,1931541506970.0,0.250006292421,77,3.66466187075e-13,0.25,0.00782687576092,0.125226860254
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-11005185.9085,1028547.91908,-11005185.9085,-10277892.7001,-11732479.1168,-11659749.796,-10350622.0209,2.0,1057910821850.0,0.125003845369,102,3.66466187075e-13,0.25,0.0039134597688,0.125226860254
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-28502829.4652,545386.889771,-28502829.4652,-28117182.6971,-28888476.2333,-28849911.5565,-28155747.3739,2.0,297446859534.0,0.249993707579,38,3.66466187075e-13,0.249963898917,0.0155939977396,0.249546279492
