smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,644088503.866,40352.9092519,644088503.866,644117037.682,644059970.05,644062823.432,644114184.3,2.0,1628357285.1,26,0.125018050542,3.66466187075e-13,0.125226860254,0.00391380597435,0.249993707579
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,605489392.36,37182.3059957,605489392.36,605515684.221,605463100.499,605465729.685,605513055.035,2.0,1382523879.16,51,0.125018050542,3.66466187075e-13,0.125226860254,0.00391400299785,0.250006292421
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,567085872.253,65300.3819905,567085872.253,567132046.596,567039697.91,567044315.345,567127429.162,2.0,4264139888.1,76,0.125018050542,3.66466187075e-13,0.125226860254,0.00391400299785,0.250006292421
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,528711489.644,114497.563035,528711489.644,528792451.647,528630527.641,528638623.841,528784355.447,2.0,13109691941.0,101,0.125018050542,3.66466187075e-13,0.125226860254,0.00195701244467,0.125003845369
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,276501611.621,72430.6711192,276501611.621,276552827.84,276450395.403,276455517.025,276547706.218,2.0,5246202118.78,32,0.25,3.66466187075e-13,0.250453720508,0.0156529635417,0.249993707579
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,238443057.84,192763.644041,238443057.84,238579362.32,238306753.36,238320383.808,238565731.872,2.0,37157822464.0,57,0.25,3.66466187075e-13,0.250453720508,0.0156537515218,0.250006292421
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,199666593.841,207486.221618,199666593.841,199813308.755,199519878.927,199534550.418,199798637.264,2.0,43050532161.5,82,0.25,3.66466187075e-13,0.250453720508,0.0156537515218,0.250006292421
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,161390398.563,126289.874828,161390398.563,161479698.99,161301098.136,161310028.179,161470768.947,2.0,15949132484.0,107,0.25,3.66466187075e-13,0.250453720508,0.0078269195376,0.125003845369
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,159645945.651,1126619.12155,159645945.651,160442585.672,158849305.63,158928969.632,160362921.67,2.0,1269270645050.0,27,0.25,3.66466187075e-13,0.125226860254,0.00782648177084,0.249993707579
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,155897418.444,274607.571554,155897418.444,156091595.32,155703241.568,155722659.255,156072177.632,2.0,75409318354.9,2,0.25,3.66466187075e-13,0.125226860254,0.00391302200204,0.12498986221
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,122069969.981,279381.974258,122069969.981,122267522.87,121872417.093,121892172.382,122247767.581,2.0,78054287540.1,52,0.25,3.66466187075e-13,0.125226860254,0.00782687576092,0.250006292421
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,81205441.2749,351998.696357,81205441.2749,81454341.94,80956540.6097,80981430.6762,81429451.8735,2.0,123903082237.0,77,0.25,3.66466187075e-13,0.125226860254,0.00782687576092,0.250006292421
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,43214058.5875,645805.103712,43214058.5875,43670711.7556,42757405.4193,42803070.7361,43625046.4388,2.0,417064231981.0,102,0.25,3.66466187075e-13,0.125226860254,0.0039134597688,0.125003845369
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-81760430.4818,212569.337234,-81760430.4818,-81610121.262,-81910739.7017,-81895708.7797,-81625152.184,2.0,45185723132.1,38,0.249963898917,3.66466187075e-13,0.249546279492,0.0155939977396,0.249993707579
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-120047399.232,947036.715441,-120047399.232,-119377743.148,-120717055.315,-120650089.707,-119444708.756,2.0,896878540393.0,63,0.249963898917,3.66466187075e-13,0.249546279492,0.0155947827514,0.250006292421
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-158739260.665,742311.079544,-158739260.665,-158214367.467,-159264153.863,-159211664.544,-158266856.787,2.0,551025738814.0,88,0.249963898917,3.66466187075e-13,0.249546279492,0.0155947827514,0.250006292421
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-196646089.251,446081.295127,-196646089.251,-196330662.143,-196961516.36,-196929973.649,-196362204.854,2.0,198988521862.0,113,0.249963898917,3.66466187075e-13,0.249546279492,0.00779743498747,0.125003845369
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-204509155.763,935401.373581,-204509155.763,-203847727.109,-205170584.417,-205104441.552,-203913869.974,2.0,874975729697.0,33,0.249963898917,3.66466187075e-13,0.250453720508,0.0156507031859,0.249993707579
