smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,302003988.449,57760.5923282,302003988.449,302044831.355,301963145.542,301967229.833,302040747.065,2.0,3336286026.11,26,3.66466187075e-13,0.00391380597435,0.125226860254,0.249993707579,0.125018050542
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,262426680.802,70726.7211106,262426680.802,262476692.146,262376669.458,262381670.592,262471691.012,2.0,5002269079.05,51,3.66466187075e-13,0.00391400299785,0.125226860254,0.250006292421,0.125018050542
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,222829512.482,34375.3195027,222829512.482,222853819.503,222805205.46,222807636.162,222851388.801,2.0,1181662590.91,76,3.66466187075e-13,0.00391400299785,0.125226860254,0.250006292421,0.125018050542
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,183132431.063,40765.8767789,183132431.063,183161256.89,183103605.235,183106487.817,183158374.308,2.0,1661856709.55,101,3.66466187075e-13,0.00195701244467,0.125226860254,0.125003845369,0.125018050542
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-135566697.329,206707.756342,-135566697.329,-135420532.872,-135712861.785,-135698245.339,-135435149.318,2.0,42728096531.8,32,3.66466187075e-13,0.0156529635417,0.250453720508,0.249993707579,0.25
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-175171199.378,177665.922188,-175171199.378,-175045570.6,-175296828.156,-175284265.279,-175058133.478,2.0,31565179907.0,57,3.66466187075e-13,0.0156537515218,0.250453720508,0.250006292421,0.25
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-214879463.372,292907.616587,-214879463.372,-214672346.41,-215086580.334,-215065868.638,-214693058.107,2.0,85794871854.6,82,3.66466187075e-13,0.0156537515218,0.250453720508,0.250006292421,0.25
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-244115406.021,334501.826537,-244115406.021,-243878877.512,-244351934.531,-244328281.68,-243902530.363,2.0,111891471957.0,2,3.66466187075e-13,0.00391302200204,0.125226860254,0.12498986221,0.25
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-254686207.773,53209.8572563,-254686207.773,-254648582.722,-254723832.823,-254720070.318,-254652345.227,2.0,2831288909.24,107,3.66466187075e-13,0.0078269195376,0.250453720508,0.125003845369,0.25
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-257626923.951,641552.17002,-257626923.951,-257173278.061,-258080569.841,-258035205.252,-257218642.65,2.0,411589186857.0,27,3.66466187075e-13,0.00782648177084,0.125226860254,0.249993707579,0.25
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-298169713.556,764071.784641,-298169713.556,-297629433.216,-298709993.896,-298655965.862,-297683461.25,2.0,583805692085.0,52,3.66466187075e-13,0.00782687576092,0.125226860254,0.250006292421,0.25
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-337984536.731,439171.94875,-337984536.731,-337673995.268,-338295078.194,-338264024.047,-337705049.414,2.0,192872000569.0,77,3.66466187075e-13,0.00782687576092,0.125226860254,0.250006292421,0.25
