smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,615752100.362,51780.6982159,615752100.362,615788714.845,615715485.88,615719147.328,615785053.397,2.0,2681240707.73,26,0.125018050542,0.00391380597435,0.125226860254,3.66466187075e-13,0.249993707579
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,576172305.857,32837.623101,576172305.857,576195525.563,576149086.151,576151408.122,576193203.593,2.0,1078309490.92,51,0.125018050542,0.00391400299785,0.125226860254,3.66466187075e-13,0.250006292421
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,536733085.145,63893.7102935,536733085.145,536778264.821,536687905.469,536692423.437,536773746.853,2.0,4082406215.07,76,0.125018050542,0.00391400299785,0.125226860254,3.66466187075e-13,0.250006292421
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,497080892.132,47661.6620662,497080892.132,497114594.017,497047190.248,497050560.436,497111223.828,2.0,2271634030.91,101,0.125018050542,0.00195701244467,0.125226860254,3.66466187075e-13,0.125003845369
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,167338555.802,34482.4496107,167338555.802,167362938.576,167314173.028,167316611.306,167360500.299,2.0,1189039331.15,32,0.25,0.0156529635417,0.250453720508,3.66466187075e-13,0.249993707579
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,127391060.307,42134.2001882,127391060.307,127420853.685,127361266.928,127364246.266,127417874.347,2.0,1775290825.5,57,0.25,0.0156537515218,0.250453720508,3.66466187075e-13,0.250006292421
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,87766358.2588,4954.17484859,87766358.2588,87769861.3894,87762855.1281,87763205.4412,87769511.0763,2.0,24543848.4304,82,0.25,0.0156537515218,0.250453720508,3.66466187075e-13,0.250006292421
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,48217382.3045,35337.069799,48217382.3045,48242369.3862,48192395.2228,48194893.931,48239870.678,2.0,1248708501.98,107,0.25,0.0078269195376,0.250453720508,3.66466187075e-13,0.125003845369
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,47868388.0874,26882.8935171,47868388.0874,47887397.1637,47849379.0111,47851279.9187,47885496.256,2.0,722689963.852,2,0.25,0.00391302200204,0.125226860254,3.66466187075e-13,0.12498986221
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,33093907.882,446131.024899,33093907.882,33409370.155,32778445.609,32809991.8363,33377823.9277,2.0,199032891378.0,27,0.25,0.00782648177084,0.125226860254,3.66466187075e-13,0.249993707579
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-6190597.99981,436092.534039,-6190597.99981,-5882234.01177,-6498961.98786,-6468125.58905,-5913070.41057,2.0,190176698244.0,52,0.25,0.00782687576092,0.125226860254,3.66466187075e-13,0.250006292421
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-46084619.12,497607.567298,-46084619.12,-45732757.4348,-46436480.8052,-46401294.6367,-45767943.6033,2.0,247613291032.0,77,0.25,0.00782687576092,0.125226860254,3.66466187075e-13,0.250006292421
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-85373729.4853,554648.739088,-85373729.4853,-84981533.6007,-85765925.3699,-85726705.7814,-85020753.1892,2.0,307635223772.0,102,0.25,0.0039134597688,0.125226860254,3.66466187075e-13,0.125003845369
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-272534792.061,156664.222398,-272534792.061,-272424013.727,-272645570.395,-272634492.562,-272435091.56,2.0,24543678579.6,38,0.249963898917,0.0155939977396,0.249546279492,3.66466187075e-13,0.249993707579
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-312009386.93,243814.8538,-312009386.93,-311836983.794,-312181790.067,-312164549.753,-311854224.108,2.0,59445682933.6,63,0.249963898917,0.0155947827514,0.249546279492,3.66466187075e-13,0.250006292421
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-351845784.427,314846.132576,-351845784.427,-351623154.591,-352068414.262,-352046151.279,-351645417.575,2.0,99128087198.3,88,0.249963898917,0.0155947827514,0.249546279492,3.66466187075e-13,0.250006292421
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-391274849.0,194827.746625,-391274849.0,-391137084.98,-391412613.021,-391398836.619,-391150861.382,2.0,37957850855.2,113,0.249963898917,0.00779743498747,0.249546279492,3.66466187075e-13,0.125003845369
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-393390057.86,26465.6680331,-393390057.86,-393371343.806,-393408771.913,-393406900.508,-393373215.212,2.0,700431584.44,8,0.249963898917,0.00782491388941,0.250453720508,3.66466187075e-13,0.12498986221
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-409063847.727,48765.9906546,-409063847.727,-409029364.964,-409098330.49,-409094882.213,-409032813.24,2.0,2378121844.53,33,0.249963898917,0.0156507031859,0.250453720508,3.66466187075e-13,0.249993707579
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-449870819.3,81600.8110783,-449870819.3,-449813118.813,-449928519.787,-449922749.738,-449818888.862,2.0,6658692368.63,58,0.249963898917,0.0156514910523,0.250453720508,3.66466187075e-13,0.250006292421
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-489236610.42,366857.637388,-489236610.42,-488977202.897,-489496017.943,-489470077.191,-489003143.649,2.0,134584526110.0,83,0.249963898917,0.0156514910523,0.250453720508,3.66466187075e-13,0.250006292421
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-528809694.588,624362.505566,-528809694.588,-528368203.627,-529251185.55,-529207036.454,-528412352.723,2.0,389828538356.0,108,0.249963898917,0.00782578929651,0.250453720508,3.66466187075e-13,0.125003845369
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-552704829.457,116776.725821,-552704829.457,-552622255.843,-552787403.072,-552779145.711,-552630513.204,2.0,13636803693.4,3,0.249963898917,0.00391245694471,0.125226860254,3.66466187075e-13,0.12498986221
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-554169030.067,520034.276336,-554169030.067,-553801310.304,-554536749.83,-554499977.854,-553838082.28,2.0,270435648564.0,28,0.249963898917,0.00782535159296,0.125226860254,3.66466187075e-13,0.249993707579
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-593047441.017,229355.322419,-593047441.017,-592885262.314,-593209619.721,-593193401.851,-592901480.184,2.0,52603863921.7,53,0.249963898917,0.00782574552616,0.125226860254,3.66466187075e-13,0.250006292421
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-633096908.981,147902.611382,-633096908.981,-632992326.041,-633201491.92,-633191033.626,-633002784.335,2.0,21875182453.6,78,0.249963898917,0.00782574552616,0.125226860254,3.66466187075e-13,0.250006292421
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-659513054.665,673624.50799,-659513054.665,-659036730.208,-659989379.123,-659941746.677,-659084362.654,2.0,453769977765.0,19,0.25,0.00779768877217,0.249546279492,3.66466187075e-13,0.12498986221
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-672844382.015,1701662.54856,-672844382.015,-671641124.888,-674047639.143,-673927313.43,-671761450.601,2.0,2895655429160.0,103,0.249963898917,0.00391289464826,0.125226860254,3.66466187075e-13,0.125003845369
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-698739885.846,367895.45062,-698739885.846,-698479744.478,-699000027.214,-698974013.077,-698505758.615,2.0,135347062587.0,44,0.25,0.0155962499057,0.249546279492,3.66466187075e-13,0.249993707579
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-738905155.724,119997.716359,-738905155.724,-738820304.525,-738990006.923,-738981521.803,-738828789.645,2.0,14399451931.3,69,0.25,0.0155970350308,0.249546279492,3.66466187075e-13,0.250006292421
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-778397489.764,142896.790818,-778397489.764,-778296446.474,-778498533.054,-778488428.725,-778306550.803,2.0,20419492826.2,94,0.25,0.0155970350308,0.249546279492,3.66466187075e-13,0.250006292421
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-817820730.668,128627.981045,-817820730.668,-817729776.95,-817911684.385,-817902589.013,-817738872.322,2.0,16545157507.8,119,0.25,0.00779856113348,0.249546279492,3.66466187075e-13,0.125003845369
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-822228075.449,240399.668288,-822228075.449,-822058087.213,-822398063.684,-822381064.861,-822075086.037,2.0,57792000512.9,14,0.25,0.00779768877217,0.249546279492,3.66466187075e-13,0.12498986221
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-840721652.506,849912.975892,-840721652.506,-840120673.277,-841322631.735,-841262533.812,-840180771.2,2.0,722352066590.0,39,0.25,0.0155962499057,0.249546279492,3.66466187075e-13,0.249993707579
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-880036023.378,204040.790483,-880036023.378,-879891744.751,-880180302.005,-880165874.142,-879906172.614,2.0,41632644180.8,64,0.25,0.0155970350308,0.249546279492,3.66466187075e-13,0.250006292421
