smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,prefix
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,478698324.874,3381.02988338,478698324.874,478700715.623,478695934.125,478696173.2,478700476.548,2.0,11431363.0723,0.00391380597435,0.249993707579,0.125018050542,3.66466187075e-13,0.125226860254,26
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,439105685.179,43018.1055445,439105685.179,439136103.573,439075266.785,439078308.624,439133061.733,2.0,1850557404.64,0.00391400299785,0.250006292421,0.125018050542,3.66466187075e-13,0.125226860254,51
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,399511704.234,44830.4644974,399511704.234,399543404.16,399480004.309,399483174.301,399540234.167,2.0,2009770547.05,0.00391400299785,0.250006292421,0.125018050542,3.66466187075e-13,0.125226860254,76
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,360059562.492,63551.2893785,360059562.492,360104500.04,360014624.945,360019118.699,360100006.285,2.0,4038766381.67,0.00195701244467,0.125003845369,0.125018050542,3.66466187075e-13,0.125226860254,101
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,58249566.2486,47171.3906175,58249566.2486,58282921.4588,58216211.0385,58219546.5595,58279585.9378,2.0,2225140092.78,0.0156529635417,0.249993707579,0.25,3.66466187075e-13,0.250453720508,32
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,18703645.756,265926.357079,18703645.756,18891684.0863,18515607.4256,18534411.2586,18872880.2533,2.0,70716827389.3,0.0156537515218,0.250006292421,0.25,3.66466187075e-13,0.250453720508,57
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-20830964.6026,36923.9713518,-20830964.6026,-20804855.4121,-20857073.7931,-20854462.8741,-20807466.3311,2.0,1363379660.39,0.0156537515218,0.250006292421,0.25,3.66466187075e-13,0.250453720508,82
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-60493606.8592,87285.4098125,-60493606.8592,-60431886.7541,-60555326.9644,-60549154.9539,-60438058.7646,2.0,7618742766.14,0.0078269195376,0.125003845369,0.25,3.66466187075e-13,0.250453720508,107
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-61086412.0996,78406.1486718,-61086412.0996,-61030970.5802,-61141853.619,-61136309.4671,-61036514.7321,2.0,6147524149.55,0.00391302200204,0.12498986221,0.25,3.66466187075e-13,0.125226860254,2
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-74844215.5876,703752.393467,-74844215.5876,-74346587.4979,-75341843.6773,-75292080.8683,-74396350.3068,2.0,495267431310.0,0.00782648177084,0.249993707579,0.25,3.66466187075e-13,0.125226860254,27
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-114953262.591,570042.920933,-114953262.591,-114550181.376,-115356343.806,-115316035.685,-114590489.498,2.0,324948931705.0,0.00782687576092,0.250006292421,0.25,3.66466187075e-13,0.125226860254,52
