smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1378024525.7,139172.636596,-1378024525.7,-1377926115.78,-1378122935.61,-1378113094.62,-1377935956.77,2.0,19369022777.0,0.000364496484229,0.0714182727564,2.57338880493e-13,0.0714285714286,0.0714516129032,1
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1404661298.81,42534.3533039,-1404661298.81,-1404631222.48,-1404691375.14,-1404688367.5,-1404634230.11,2.0,1809171210.98,0.000729050060791,0.142847732002,2.57338880493e-13,0.0714285714286,0.0714516129032,65
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1430947707.35,163226.665733,-1430947707.35,-1430832288.66,-1431063126.03,-1431051584.16,-1430843830.53,2.0,26642944406.3,0.000729113496717,0.142860161433,2.57338880493e-13,0.0714285714286,0.0714516129032,129
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,172406.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1457625312.64,49810.1732462,-1457625312.64,-1457590091.53,-1457660533.75,-1457657011.64,-1457593613.64,2.0,2481053358.82,0.000729119840309,0.142861404377,2.57338880493e-13,0.0714285714286,0.0714516129032,193
720.0,-667.0,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1669486944.86,999256.168438,-1669486944.86,-1668780364.05,-1670193525.68,-1670122867.59,-1668851022.13,2.0,998512890162.0,0.00145810012158,0.142847732002,2.57338880493e-13,0.142857142857,0.0714516129032,66
720.0,-667.0,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1682423368.11,123132.307224,-1682423368.11,-1682336300.42,-1682510435.8,-1682501729.03,-1682345007.19,2.0,15161565082.4,0.000728992968458,0.0714182727564,2.57338880493e-13,0.142857142857,0.0714516129032,2
720.0,-667.0,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1696473298.95,673781.135868,-1696473298.95,-1695996863.74,-1696949734.16,-1696902090.63,-1696044507.26,2.0,453981019052.0,0.00145822699343,0.142860161433,2.57338880493e-13,0.142857142857,0.0714516129032,130
720.0,-667.0,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,172406.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1722936682.57,1696637.67937,-1722936682.57,-1721736978.56,-1724136386.58,-1724016416.18,-1721856948.96,2.0,2878579415040.0,0.00145823968062,0.142861404377,2.57338880493e-13,0.142857142857,0.0714516129032,194
720.0,-489.9,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1779467162.24,731052.611645,-1779467162.24,-1778950229.98,-1779984094.5,-1779932401.27,-1779001923.2,2.0,534437920994.0,0.00145716314576,0.0714182727564,2.57338880493e-13,0.142857142857,0.142822580645,19
720.0,-489.9,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1806129381.76,607845.147977,-1806129381.76,-1805699570.34,-1806559193.19,-1806516212.05,-1805742551.48,2.0,369475723919.0,0.00291455453197,0.142847732002,2.57338880493e-13,0.142857142857,0.142822580645,83
720.0,-489.9,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1832516346.19,430120.432242,-1832516346.19,-1832212205.11,-1832820487.26,-1832790073.15,-1832242619.22,2.0,185003586232.0,0.00291480813247,0.142860161433,2.57338880493e-13,0.142857142857,0.142822580645,147
720.0,-578.4,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1870264755.94,245173.531413,-1870264755.94,-1870091392.08,-1870438119.81,-1870420783.42,-1870108728.46,2.0,60110060505.3,0.00291455453197,0.142847732002,2.57338880493e-13,0.142857142857,0.142822580645,75
720.0,-578.4,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1882195159.21,123593.422126,-1882195159.21,-1882107765.46,-1882282552.95,-1882273813.58,-1882116504.84,2.0,15275333992.8,0.00145716314576,0.0714182727564,2.57338880493e-13,0.142857142857,0.142822580645,11
720.0,-578.4,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1896402406.88,733410.585449,-1896402406.88,-1895883807.28,-1896921006.48,-1896869146.52,-1895935667.24,2.0,537891086849.0,0.00291480813247,0.142860161433,2.57338880493e-13,0.142857142857,0.142822580645,139
720.0,-578.4,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,172406.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1922367220.87,270136.202085,-1922367220.87,-1922176205.73,-1922558236.01,-1922539134.5,-1922195307.25,2.0,72973567676.9,0.00291483349252,0.142861404377,2.57338880493e-13,0.142857142857,0.142822580645,203
720.0,-667.0,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1942011713.17,1277608.17131,-1942011713.17,-1941108307.76,-1942915118.57,-1942824778.03,-1941198648.3,2.0,1632282639400.0,0.00145810012158,0.142847732002,2.57338880493e-13,0.142857142857,0.0714516129032,67
720.0,-667.0,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1969077436.45,1779991.28749,-1969077436.45,-1967818792.54,-1970336080.36,-1970210215.97,-1967944656.93,2.0,3168368983530.0,0.00145822699343,0.142860161433,2.57338880493e-13,0.142857142857,0.0714516129032,131
720.0,-401.3,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1974010201.83,324239.714966,-1974010201.83,-1973780929.73,-1974239473.93,-1974216546.72,-1973803856.94,2.0,105131392761.0,0.00145798593692,0.0714182727564,2.57338880493e-13,0.142857142857,0.142903225806,28
720.0,-667.0,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1984208872.04,82817.2033318,-1984208872.04,-1984150311.43,-1984267432.65,-1984261576.59,-1984156167.5,2.0,6858689167.7,0.000728992968458,0.0714182727564,2.57338880493e-13,0.142857142857,0.0714516129032,3
720.0,-667.0,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,172406.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1995301524.28,1298844.95378,-1995301524.28,-1994383102.21,-1996219946.36,-1996128104.15,-1994474944.42,2.0,1686998213970.0,0.00145823968062,0.142861404377,2.57338880493e-13,0.142857142857,0.0714516129032,195
720.0,-401.3,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2000400818.82,1842517.04053,-2000400818.82,-1999097962.52,-2001703675.11,-2001573389.48,-1999228248.15,2.0,3394869044650.0,0.00291620024317,0.142847732002,2.57338880493e-13,0.142857142857,0.142903225806,92
720.0,-401.3,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2026103856.42,558574.776374,-2026103856.42,-2025708884.41,-2026498828.43,-2026459331.23,-2025748381.61,2.0,312005780802.0,0.00291645398687,0.142860161433,2.57338880493e-13,0.142857142857,0.142903225806,156
720.0,-489.9,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2067311875.33,89760.6699901,-2067311875.33,-2067248404.96,-2067375345.71,-2067368998.67,-2067254751.99,2.0,8056977877.07,0.00291455453197,0.142847732002,2.57338880493e-13,0.142857142857,0.142822580645,84
720.0,-489.9,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2078252262.93,1488298.91492,-2078252262.93,-2077199876.68,-2079304649.19,-2079199410.56,-2077305115.3,2.0,2215033660160.0,0.00145716314576,0.0714182727564,2.57338880493e-13,0.142857142857,0.142822580645,20
720.0,-489.9,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2091809836.2,109696.142936,-2091809836.2,-2091732269.31,-2091887403.09,-2091879646.4,-2091740026.0,2.0,12033243775.0,0.00291480813247,0.142860161433,2.57338880493e-13,0.142857142857,0.142822580645,148
720.0,-489.9,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,172406.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2120996789.43,377186.148695,-2120996789.43,-2120730078.55,-2121263500.31,-2121236829.22,-2120756749.63,2.0,142269390768.0,0.00291483349252,0.142861404377,2.57338880493e-13,0.142857142857,0.142822580645,212
720.0,-578.4,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2142699171.34,867571.1928,-2142699171.34,-2142085705.87,-2143312636.81,-2143251290.27,-2142147052.41,2.0,752679774577.0,0.00291455453197,0.142847732002,2.57338880493e-13,0.142857142857,0.142822580645,76
720.0,-578.4,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2169116859.13,943745.060805,-2169116859.13,-2168449530.6,-2169784187.66,-2169717454.81,-2168516263.45,2.0,890654739794.0,0.00291480813247,0.142860161433,2.57338880493e-13,0.142857142857,0.142822580645,140
720.0,-578.4,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2181599271.43,121887.111625,-2181599271.43,-2181513084.22,-2181685458.63,-2181676839.91,-2181521702.94,2.0,14856467980.4,0.00145716314576,0.0714182727564,2.57338880493e-13,0.142857142857,0.142822580645,12
720.0,-578.4,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,172406.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2195174481.34,221092.933417,-2195174481.34,-2195018145.02,-2195330817.65,-2195315184.02,-2195033778.65,2.0,48882085207.0,0.00291483349252,0.142861404377,2.57338880493e-13,0.142857142857,0.142822580645,204
720.0,-667.0,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2225963804.85,2361130.7175,-2225963804.85,-2224294233.31,-2227633376.39,-2227466419.24,-2224461190.46,2.0,5574938265100.0,0.00145810012158,0.142847732002,2.57338880493e-13,0.142857142857,0.0714516129032,68
720.0,-667.0,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2250389170.6,16214.2535914,-2250389170.6,-2250377705.39,-2250400635.81,-2250399489.29,-2250378851.91,2.0,262902019.525,0.00145822699343,0.142860161433,2.57338880493e-13,0.142857142857,0.0714516129032,132
720.0,-401.3,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2258431125.96,17776.6657107,-2258431125.96,-2258418555.96,-2258443695.96,-2258442438.96,-2258419812.96,2.0,316009843.791,0.00291620024317,0.142847732002,2.57338880493e-13,0.142857142857,0.142903225806,93
720.0,-401.3,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2269085796.07,18939.2079628,-2269085796.07,-2269072404.03,-2269099188.12,-2269097848.91,-2269073743.24,2.0,358693598.259,0.00145798593692,0.0714182727564,2.57338880493e-13,0.142857142857,0.142903225806,29
720.0,-667.0,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,172406.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2279066222.13,455700.967968,-2279066222.13,-2278743992.89,-2279388451.38,-2279356228.45,-2278776215.81,2.0,207663372207.0,0.00145823968062,0.142861404377,2.57338880493e-13,0.142857142857,0.0714516129032,196
720.0,-667.0,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2282812192.7,20454.781957,-2282812192.7,-2282797728.99,-2282826656.42,-2282825210.05,-2282799175.36,2.0,418398104.908,0.000728992968458,0.0714182727564,2.57338880493e-13,0.142857142857,0.0714516129032,4
720.0,-401.3,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2283358564.31,1073455.43574,-2283358564.31,-2282599516.69,-2284117611.93,-2284041707.17,-2282675421.46,2.0,1152306572510.0,0.00291645398687,0.142860161433,2.57338880493e-13,0.142857142857,0.142903225806,157
720.0,-489.9,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2339108648.15,932055.610627,-2339108648.15,-2338449585.31,-2339767710.99,-2339701804.71,-2338515491.59,2.0,868727661302.0,0.00291455453197,0.142847732002,2.57338880493e-13,0.142857142857,0.142822580645,85
720.0,-489.9,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2366244212.66,2719106.27059,-2366244212.66,-2364321514.18,-2368166911.14,-2367974641.3,-2364513784.03,2.0,7393538910750.0,0.00291480813247,0.142860161433,2.57338880493e-13,0.142857142857,0.142822580645,149
720.0,-489.9,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2371689873.01,1461980.75266,-2371689873.01,-2370656096.5,-2372723649.51,-2372620271.86,-2370759474.15,2.0,2137387721160.0,0.00145716314576,0.0714182727564,2.57338880493e-13,0.142857142857,0.142822580645,21
720.0,-578.4,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2426298331.86,2230197.51785,-2426298331.86,-2424721344.07,-2427875319.65,-2427717620.87,-2424879042.85,2.0,4973780968630.0,0.00291455453197,0.142847732002,2.57338880493e-13,0.142857142857,0.142822580645,77
720.0,-312.7,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2445255131.0,972737.314481,-2445255131.0,-2444567301.85,-2445942960.15,-2445874177.23,-2444636084.76,2.0,946217882984.0,0.00291620024317,0.142847732002,2.57338880493e-13,0.142857142857,0.142903225806,102
720.0,-312.7,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2450233732.77,2588666.65071,-2450233732.77,-2448403269.02,-2452064196.51,-2451881150.13,-2448586315.4,2.0,6701195028510.0,0.00145798593692,0.0714182727564,2.57338880493e-13,0.142857142857,0.142903225806,38
