smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-155663862.923,192298.823748,-155663862.923,-155527887.12,-155799838.725,-155786241.145,-155541484.7,2.0,36978837614.7,0.125039974416,0.124962590531,1,0.125,0.00195316489037,2.57276850496e-11
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,25063.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-166360672.115,114910.113183,-166360672.115,-166279418.394,-166441925.835,-166433800.463,-166287543.766,2.0,13204334111.6,0.125039974416,0.249975060354,26,0.125,0.00390710939392,2.57276850496e-11
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-176976395.099,94255.5903395,-176976395.099,-176909746.332,-177043043.866,-177036378.989,-176916411.209,2.0,8884116310.24,0.125039974416,0.250024939646,51,0.125,0.0039078890071,2.57276850496e-11
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,75189.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-187413057.927,3552.42185553,-187413057.927,-187410545.985,-187415569.868,-187415318.674,-187410797.179,2.0,12619701.0396,0.125039974416,0.250024939646,76,0.125,0.0039078890071,2.57276850496e-11
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-197793300.286,92.5894645227,-197793300.286,-197793234.816,-197793365.757,-197793359.21,-197793241.363,2.0,8572.8089406,0.125039974416,0.125012469823,101,0.125,0.00195394450355,2.57276850496e-11
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-214705678.258,118749.561725,-214705678.258,-214621709.637,-214789646.878,-214781250.016,-214630106.499,2.0,14101458409.8,0.249920051167,0.124962590531,7,0.25,0.00780766425487,2.57276850496e-11
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,25063.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-225406024.713,498512.197262,-225406024.713,-225053523.357,-225758526.068,-225723275.932,-225088773.493,2.0,248514410819.0,0.249920051167,0.249975060354,32,0.25,0.0156184449685,2.57276850496e-11
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-235764845.248,395699.442701,-235764845.248,-235485043.489,-236044647.007,-236016666.831,-235513023.665,2.0,156578048954.0,0.249920051167,0.250024939646,57,0.25,0.0156215614274,2.57276850496e-11
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,75189.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-246732628.543,135561.116727,-246732628.543,-246636772.358,-246828484.728,-246818899.11,-246646357.977,2.0,18376816368.1,0.249920051167,0.250024939646,82,0.25,0.0156215614274,2.57276850496e-11
240.0,-187.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,25063.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-250098742.143,443514.835895,-250098742.143,-249785129.794,-250412354.491,-250380993.256,-249816491.029,2.0,196705409659.0,0.249920051167,0.249975060354,27,0.125,0.00780922248427,2.57276850496e-11
