smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,741993605.432,20721.8426238,741993605.432,742008257.987,741978952.877,741980418.132,742006792.732,2.0,429394761.726,26,3.66466187075e-13,0.125226860254,0.249993707579,0.125018050542,0.00391380597435
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,702412198.868,68548.8206313,702412198.868,702460670.204,702363727.532,702368574.666,702455823.07,2.0,4698940809.94,51,3.66466187075e-13,0.125226860254,0.250006292421,0.125018050542,0.00391400299785
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,662891854.76,64183.1395531,662891854.76,662937239.093,662846470.426,662851008.86,662932700.659,2.0,4119475402.89,76,3.66466187075e-13,0.125226860254,0.250006292421,0.125018050542,0.00391400299785
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,623443226.143,85302.0885982,623443226.143,623503543.828,623382908.457,623388940.226,623497512.059,2.0,7276446319.22,101,3.66466187075e-13,0.125226860254,0.125003845369,0.125018050542,0.00195701244467
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,267029487.145,142557.968373,267029487.145,267130290.851,266928683.438,266938763.809,267120210.48,2.0,20322774346.8,32,3.66466187075e-13,0.250453720508,0.249993707579,0.25,0.0156529635417
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,227497736.904,3940.53948137,227497736.904,227500523.286,227494950.522,227495229.16,227500244.648,2.0,15527851.4043,57,3.66466187075e-13,0.250453720508,0.250006292421,0.25,0.0156537515218
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,187861170.104,73203.4245727,187861170.104,187912932.742,187809407.466,187814583.73,187907756.478,2.0,5358741369.17,82,3.66466187075e-13,0.250453720508,0.250006292421,0.25,0.0156537515218
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,148384666.147,380699.985384,148384666.147,148653861.688,148115470.606,148142390.16,148626942.134,2.0,144932478871.0,107,3.66466187075e-13,0.250453720508,0.125003845369,0.25,0.0078269195376
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,147981969.735,7597.48064435,147981969.735,147987341.965,147976597.505,147977134.728,147986804.742,2.0,57721712.1413,2,3.66466187075e-13,0.125226860254,0.12498986221,0.25,0.00391302200204
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,133567391.279,386562.566029,133567391.279,133840732.29,133294050.267,133321384.368,133813398.189,2.0,149430617455.0,27,3.66466187075e-13,0.125226860254,0.249993707579,0.25,0.00782648177084
