smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,163552969.087,1164470.53403,163552969.087,164376374.098,162729564.076,162811904.577,164294033.597,2.0,1355991624620.0,5.2351036610599995e-14,0.125018050542,26,0.125226860254,0.0039138888497,0.249999001227
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,59431958.8949,1931245.15599,59431958.8949,60797555.4408,58066362.3489,58202922.0035,60660995.7862,2.0,3729707852530.0,5.2351036610599995e-14,0.25,2,0.125226860254,0.00391329560733,0.124998601718
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-98492048.9573,11604238.2287,-98492048.9573,-90286613.4153,-106697484.499,-105876940.945,-91107156.9695,2.0,134658344868000.0,5.2351036610599995e-14,0.25,32,0.250453720508,0.0156532949952,0.249999001227
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-172494979.303,18716.3558475,-172494979.303,-172481744.841,-172508213.766,-172506890.319,-172483068.288,2.0,350301976.21,5.2351036610599995e-14,0.125018050542,51,0.125226860254,0.0039139201225,0.250000998773
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-194166319.537,786881.026918,-194166319.537,-193609910.627,-194722728.448,-194667087.557,-193665551.518,2.0,619181750524.0,5.2351036610599995e-14,0.249963898917,8,0.250453720508,0.00782546102098,0.124998601718
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-221377731.049,9099017.5434,-221377731.049,-214943754.042,-227811708.056,-227168310.355,-215587151.742,2.0,82792120255200.0,5.2351036610599995e-14,0.25,27,0.125226860254,0.00782664749759,0.249999001227
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-267948913.745,23066789.5128,-267948913.745,-251638230.46,-284259597.03,-282628528.701,-253269298.789,2.0,532076778428000.0,5.2351036610599995e-14,0.25,19,0.249546279492,0.00779823400012,0.124998601718
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-339924875.663,9553766.24325,-339924875.663,-333169342.766,-346680408.559,-346004855.27,-333844896.056,2.0,91274449430600.0,5.2351036610599995e-14,0.249963898917,38,0.249546279492,0.0155943279445,0.249999001227
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-395490588.152,7386013.48844,-395490588.152,-390267887.928,-400713288.375,-400191018.353,-390790157.95,2.0,54553195251400.0,5.2351036610599995e-14,0.249963898917,3,0.125226860254,0.00391273051049,0.124998601718
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-423264492.91,724706.693353,-423264492.91,-422752047.892,-423776937.927,-423725693.425,-422803292.394,2.0,525199791391.0,5.2351036610599995e-14,0.25,14,0.249546279492,0.00779823400012,0.124998601718
