smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,742210012.274,454031.933518,742210012.274,742531061.333,741888963.214,741921068.12,742498956.427,2.0,206144996654.0,0.125,1,0.124998712693,0.00195307981485,0.12499839544,3.6761913905299995e-14
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,703992.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,450132763.363,565429.025368,450132763.363,450532582.061,449732944.665,449772926.535,450492600.191,2.0,319709982729.0,0.125,26,0.249999200982,0.00390618737302,0.12499839544,3.6761913905299995e-14
720.0,-667.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,219418286.39,6274137.98057,219418286.39,223854771.902,214981800.878,215425449.429,223411123.351,2.0,39364807399200.0,0.125,2,0.124998712693,0.00390620977167,0.25,3.6761913905299995e-14
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,152629423.678,2499234.3278,152629423.678,154396649.219,150862198.137,151038920.692,154219926.665,2.0,6246172225270.0,0.125,51,0.250000799018,0.00390621234201,0.12499839544,3.6761913905299995e-14
720.0,-512.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,703992.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,102798005.611,1681748.34986,102798005.611,103987181.273,101608829.949,101727747.515,103868263.707,2.0,2828277512260.0,0.25,32,0.249999200982,0.0156249500614,0.25,3.6761913905299995e-14
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,71865803.5911,3838331.98717,71865803.5911,74579914.1677,69151693.0145,69423104.0722,74308503.11,2.0,14732792443700.0,0.25,13,0.124998712693,0.00781241954334,0.25,3.6761913905299995e-14
720.0,-667.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,703992.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3168841.63788,7446367.5505,-3168841.63788,2096535.35229,-8434218.62804,-7907680.92902,1569997.65327,2.0,55448389697100.0,0.125,27,0.249999200982,0.00781247503069,0.25,3.6761913905299995e-14
720.0,-512.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-130015226.777,1103150.75443,-130015226.777,-129235181.398,-130795272.156,-130717267.618,-129313185.936,2.0,1216941587010.0,0.25,8,0.124998712693,0.00781241954334,0.25,3.6761913905299995e-14
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,2111975.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-147632627.361,2080014.85737,-147632627.361,-146161834.75,-149103419.972,-148956340.711,-146308914.011,2.0,4326461806870.0,0.125,76,0.250000799018,0.00390621234201,0.12499839544,3.6761913905299995e-14
720.0,-512.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-188840610.518,3841564.85136,-188840610.518,-186124213.962,-191557007.075,-191285367.42,-186395853.617,2.0,14757620507200.0,0.25,57,0.250000799018,0.0156250499386,0.25,3.6761913905299995e-14
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,703992.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-239635793.215,5243797.5669,-239635793.215,-235927868.397,-243343718.034,-242972925.552,-236298660.879,2.0,27497412922600.0,0.25,38,0.249999200982,0.0156249500614,0.25,3.6761913905299995e-14
720.0,-667.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-288622808.258,5625079.17738,-288622808.258,-284645276.627,-292600339.889,-292202586.726,-285043029.79,2.0,31641515751800.0,0.125,3,0.124998712693,0.00390620977167,0.25,3.6761913905299995e-14
720.0,-667.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-305047236.233,9561991.21067,-305047236.233,-298285887.406,-311808585.059,-311132450.177,-298962022.289,2.0,91431675912900.0,0.125,52,0.250000799018,0.00781252496931,0.25,3.6761913905299995e-14
720.0,-512.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,703992.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-338953752.374,2324529.37395,-338953752.374,-337310061.89,-340597442.857,-340433073.809,-337474430.939,2.0,5403436810350.0,0.25,33,0.249999200982,0.0156249500614,0.25,3.6761913905299995e-14
720.0,-357.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-440286960.208,910716.174536,-440286960.208,-439642986.625,-440930933.791,-440866536.433,-439707383.984,2.0,829403950561.0,0.25,14,0.124998712693,0.00781241954334,0.25,3.6761913905299995e-14
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-443582897.175,4673668.76492,-443582897.175,-440278114.299,-446887680.052,-446557201.764,-440608592.586,2.0,21843179724200.0,0.125,101,0.125000488289,0.00195310755817,0.12499839544,3.6761913905299995e-14
720.0,-667.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,703992.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-488580537.04,3618732.28702,-488580537.04,-486021706.9,-491139367.179,-490883484.165,-486277589.914,2.0,13095223365100.0,0.125,28,0.249999200982,0.00781247503069,0.25,3.6761913905299995e-14
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-495232560.858,5404805.98704,-495232560.858,-491410785.894,-499054335.822,-498672158.326,-491792963.39,2.0,29211927757600.0,0.125,25,0.124998712693,0.00195312995682,0.12500160456,0.0
720.0,-512.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,2111975.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-496237134.685,9671929.07269,-496237134.685,-489398048.05,-503076221.319,-502392312.656,-490081956.714,2.0,93546211987200.0,0.25,82,0.250000799018,0.0156250499386,0.25,3.6761913905299995e-14
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-545539659.358,29801388.577,-545539659.358,-524466895.407,-566612423.31,-564505146.915,-526574171.802,2.0,888122761115000.0,0.25,63,0.250000799018,0.0156250499386,0.25,3.6761913905299995e-14
720.0,-202.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,703992.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-554534337.242,14947446.3861,-554534337.242,-543964896.54,-565103777.943,-564046833.872,-545021840.611,2.0,223426153466000.0,0.25,44,0.249999200982,0.0156249500614,0.25,3.6761913905299995e-14
720.0,-667.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,2111975.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-603790794.705,4794148.1482,-603790794.705,-600400820.04,-607180769.371,-606841771.904,-600739817.506,2.0,22983856466900.0,0.125,77,0.250000799018,0.00781252496931,0.25,3.6761913905299995e-14
