smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,614783421.807,1328681.85514,614783421.807,615722941.757,613843901.857,613937853.852,615628989.762,2.0,1765395472180.0,101,0.055548424363,0.0556451612903,0.111109828737,3.6760970142599995e-14,0.000343440595413
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,513201564.894,1323165.2994,513201564.894,514137184.05,512265945.738,512359507.653,514043622.134,2.0,1750766409530.0,2,0.111128939092,0.0556451612903,0.055553937791,3.6760970142599995e-14,0.000343533759411
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,457630738.497,4799953.5782,457630738.497,461024818.222,454236658.772,454576066.745,460685410.249,2.0,23039554352900.0,112,0.111128939092,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137415919343
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,413604246.211,3159088.93279,413604246.211,415838059.417,411370433.004,411593814.325,415614678.097,2.0,9979842885260.0,102,0.111128939092,0.0556451612903,0.111109828737,3.6760970142599995e-14,0.000687079596716
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,361096148.059,1138128.22873,361096148.059,361900926.248,360291369.871,360371847.69,361820448.429,2.0,1295335865020.0,13,0.111128939092,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000687067518821
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,309149912.013,6043703.10031,309149912.013,313423455.459,304876368.567,305303722.912,312996101.114,2.0,36526347164800.0,123,0.111128939092,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137415919343
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,278926046.821,1305819.76886,278926046.821,279849400.834,278002692.807,278095028.209,279757065.433,2.0,1705165268730.0,3,0.111128939092,0.0556451612903,0.055553937791,3.6760970142599995e-14,0.000343533759411
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,262913232.501,1303692.17481,262913232.501,263835082.078,261991382.924,262083567.881,263742897.121,2.0,1699613286650.0,113,0.111128939092,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137415919343
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,214484568.323,1749728.20373,214484568.323,215721813.001,213247323.645,213371048.112,215598088.533,2.0,3061548786920.0,103,0.111128939092,0.0556451612903,0.111109828737,3.6760970142599995e-14,0.000687079596716
720.0,-529.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,209127533.662,2748985.53137,209127533.662,211071359.972,207183707.351,207378089.982,210876977.341,2.0,7556921451670.0,24,0.111096848726,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000686869116419
720.0,-460.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,146656489.65,23438613.5942,146656489.65,163230092.264,130082887.036,131740247.297,161572732.003,2.0,549368607220000.0,134,0.111096848726,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137376238165
720.0,-598.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,129747127.049,3391236.37986,129747127.049,132145093.29,127349160.808,127588957.432,131905296.666,2.0,11500484184100.0,14,0.111096848726,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000686869116419
720.0,-529.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,90538506.9661,23557396.0949,90538506.9661,107196101.492,73880912.4403,75546671.8929,105530342.039,2.0,554950910772000.0,124,0.111096848726,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137376238165
720.0,-598.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,58590375.822,4623771.42189,58590375.822,61859875.9491,55320875.6949,55647825.7076,61532925.9364,2.0,21379262161900.0,114,0.111096848726,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137376238165
