smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,471495680.418,240406.271042,471495680.418,471665673.323,471325687.514,471342686.804,471648674.032,2.0,57795175156.4,0.055548424363,3.6760970142599995e-14,0.0556451612903,0.111109828737,0.000343440595413,101
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,378493463.007,3552051.9,378493463.007,381005142.993,375981783.022,376232951.02,380753974.994,2.0,12617072700300.0,0.111128939092,3.6760970142599995e-14,0.0556451612903,0.055553937791,0.000343533759411,2
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,339074648.164,844752.24601,339074648.164,339671978.206,338477318.123,338537051.127,339612245.202,2.0,713606357139.0,0.055548424363,3.6760970142599995e-14,0.0556451612903,0.111111604332,0.00034344608378,201
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,327411902.849,4488988.71331,327411902.849,330586097.208,324237708.489,324555127.925,330268677.772,2.0,20151019668200.0,0.111128939092,3.6760970142599995e-14,0.111290322581,0.111109828737,0.00137415919343,112
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,289046108.044,586167.92384,289046108.044,289460591.358,288631624.73,288673073.061,289419143.026,2.0,343592834939.0,0.111128939092,3.6760970142599995e-14,0.0556451612903,0.111109828737,0.000687079596716,102
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,244696466.103,1820110.12755,244696466.103,245983478.317,243409453.89,243538155.111,245854777.096,2.0,3312800876410.0,0.111128939092,3.6760970142599995e-14,0.111290322581,0.055553937791,0.000687067518821,13
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,207991259.986,2797002.86073,207991259.986,209969039.676,206013480.296,206211258.265,209771261.707,2.0,7823225002910.0,0.055548424363,3.6760970142599995e-14,0.0556451612903,0.111111426772,0.000343445534943,301
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,203521127.479,2394834.27712,203521127.479,205214531.036,201827723.921,201997064.277,205045190.68,2.0,5735231214880.0,0.111128939092,3.6760970142599995e-14,0.111290322581,0.111111604332,0.00137418115324,212
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,188218521.677,2680544.74266,188218521.677,190113953.042,186323090.312,186512633.448,189924409.905,2.0,7185320117380.0,0.111128939092,3.6760970142599995e-14,0.111290322581,0.111109828737,0.00137415919343,123
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,164365366.559,7505421.61598,164365366.559,169672501.079,159058232.039,159588945.491,169141787.627,2.0,56331353633600.0,0.111128939092,3.6760970142599995e-14,0.0556451612903,0.055553937791,0.000343533759411,3
