smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,prefix,PointProbability
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,1240635869.22,4801009.79725,1240635869.22,1244030695.81,1237241042.64,1237580525.3,1243691213.15,2.0,23049695073300.0,0.125,0.124998979977,0.00195310906214,0.125,1,1.7495628323699997e-14
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,888463.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,882980800.198,11723243.1211,882980800.198,891270384.907,874691215.49,875520173.961,890441426.436,2.0,137434429275000.0,0.125,0.249999366882,0.00390624010753,0.125,26,1.7495628323699997e-14
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,776477839.16,17065070.1171,776477839.16,788544665.961,764411012.359,765617695.039,787337983.281,2.0,291216618100000.0,0.25,0.124998979977,0.00781243624855,0.25,7,1.7495628323699997e-14
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,567192407.6,8669767.11666,567192407.6,573322858.719,561061956.48,561675001.592,572709813.607,2.0,75164861857000.0,0.125,0.124998979977,0.00390621812428,0.25,2,1.7495628323699997e-14
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,513003238.397,1250274.63661,513003238.397,513887316.07,512119160.723,512207568.49,513798908.303,2.0,1563186666950.0,0.125,0.250000633118,0.00390625989247,0.125,51,1.7495628323699997e-14
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,888463.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,388905446.728,18586227.1871,388905446.728,402047894.009,375762999.448,377077244.176,400733649.281,2.0,345447841050000.0,0.25,0.249999366882,0.0156249604301,0.25,32,1.7495628323699997e-14
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,339908496.927,20584301.6478,339908496.927,354463796.208,325353197.646,326808727.574,353008266.28,2.0,423713474329000.0,0.25,0.124998979977,0.00781243624855,0.25,13,1.7495628323699997e-14
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,888463.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,291817101.302,799396.761303,291817101.302,292382360.173,291251842.431,291308368.318,292325834.286,2.0,639035181981.0,0.125,0.249999366882,0.00781248021507,0.25,27,1.7495628323699997e-14
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,2665388.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,136566433.698,6824347.27772,136566433.698,141391975.935,131740891.461,132223445.685,140909421.712,2.0,46571715766900.0,0.125,0.250000633118,0.00390625989247,0.125,76,1.7495628323699997e-14
1200.0,-747.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,91041721.5926,49892026.2382,91041721.5926,126320711.673,55762731.5124,59290630.5204,122792812.665,2.0,2489214282160000.0,0.25,0.124998979977,0.00781243624855,0.25,8,1.7495628323699997e-14
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,34966615.6079,28859902.0194,34966615.6079,55373648.0302,14559583.1856,16600286.4278,53332944.788,2.0,832893944570000.0,0.25,0.250000633118,0.0156250395699,0.25,57,1.7495628323699997e-14
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,888463.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-26556189.8508,2264206.18757,-26556189.8508,-24955154.3015,-28157225.4,-27997121.8451,-25115257.8564,2.0,5126629659840.0,0.25,0.249999366882,0.0156249604301,0.25,38,1.7495628323699997e-14
