smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,58611275.6447,1660043.79039,58611275.6447,59785103.866,57437447.4235,57554830.2456,59667721.0439,2.0,2755745386020.0,0.125018050542,0.0039138888497,0.125226860254,26,0.249999001227,5.2351036610599995e-14
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-56634336.8117,5183319.71881,-56634336.8117,-52969176.2895,-60299497.3339,-59932981.2817,-53335692.3417,2.0,26866803307400.0,0.25,0.00391329560733,0.125226860254,2,0.124998601718,5.2351036610599995e-14
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-170218942.0,514854.537458,-170218942.0,-169854884.866,-170582999.135,-170546593.422,-169891290.579,2.0,265075194741.0,0.25,0.0156532949952,0.250453720508,32,0.249999001227,5.2351036610599995e-14
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-206880821.595,6224987.70048,-206880821.595,-202479090.579,-211282552.61,-210842379.509,-202919263.68,2.0,38750471871100.0,0.125018050542,0.0039139201225,0.125226860254,51,0.250000998773,5.2351036610599995e-14
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-258806970.136,9844839.52509,-258806970.136,-251845617.348,-265768322.924,-265072187.645,-252541752.627,2.0,96920865274800.0,0.25,0.00782664749759,0.125226860254,27,0.249999001227,5.2351036610599995e-14
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-278576743.656,843995.118268,-278576743.656,-277979948.985,-279173538.328,-279113858.861,-278039628.452,2.0,712327759660.0,0.249963898917,0.00782546102098,0.250453720508,8,0.124998601718,5.2351036610599995e-14
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-325228357.374,26938981.2308,-325228357.374,-306179621.068,-344277093.681,-342372220.05,-308084494.698,2.0,725708709755000.0,0.25,0.00779823400012,0.249546279492,19,0.124998601718,5.2351036610599995e-14
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-388158230.878,19206623.2315,-388158230.878,-374577097.347,-401739364.408,-400381251.055,-375935210.7,2.0,368894375956000.0,0.249963898917,0.0155943279445,0.249546279492,38,0.249999001227,5.2351036610599995e-14
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-422731019.011,4980865.68355,-422731019.011,-419209015.11,-426253022.913,-425900822.522,-419561215.501,2.0,24809022957600.0,0.25,0.0156534200683,0.250453720508,57,0.250000998773,5.2351036610599995e-14
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-429896444.983,598069.779772,-429896444.983,-429473545.786,-430319344.18,-430277054.26,-429515835.706,2.0,357687461476.0,0.249963898917,0.00391273051049,0.125226860254,3,0.124998601718,5.2351036610599995e-14
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-465809400.927,1158373.00192,-465809400.927,-464990307.523,-466628494.332,-466546584.992,-465072216.863,2.0,1341828011590.0,0.125018050542,0.0039139201225,0.125226860254,76,0.250000998773,5.2351036610599995e-14
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-466892205.619,750341.266544,-466892205.619,-466361634.221,-467422777.017,-467369719.877,-466414691.361,2.0,563012016279.0,0.25,0.00779823400012,0.249546279492,14,0.124998601718,5.2351036610599995e-14
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-476133777.732,1524191.93348,-476133777.732,-475056011.28,-477211544.184,-477103767.539,-475163787.925,2.0,2323161050070.0,0.125018050542,0.00195693035208,0.125226860254,25,0.124998601718,5.2351036610599995e-14
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-496793273.273,12243971.5924,-496793273.273,-488135477.931,-505451068.614,-504585289.08,-489001257.465,2.0,149914840356000.0,0.249963898917,0.0156510345916,0.250453720508,33,0.249999001227,5.2351036610599995e-14
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-528125695.927,9388322.18921,-528125695.927,-521487149.643,-534764242.211,-534100387.582,-522151004.271,2.0,88140593528400.0,0.25,0.00782671003417,0.125226860254,52,0.250000998773,5.2351036610599995e-14
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-582507643.28,10664244.1501,-582507643.28,-574966883.925,-590048402.634,-589294326.699,-575720959.86,2.0,113726103293000.0,0.25,0.0155965801582,0.249546279492,44,0.249999001227,5.2351036610599995e-14
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-591969827.222,354637.50088,-591969827.222,-591719060.64,-592220593.804,-592195517.145,-591744137.298,2.0,125767757030.0,0.249963898917,0.00782551729578,0.125226860254,28,0.249999001227,5.2351036610599995e-14
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-629775010.445,12057713.431,-629775010.445,-621248919.512,-638301101.378,-637448492.284,-622101528.606,2.0,145388453184000.0,0.25,0.00782659121466,0.250453720508,9,0.124998601718,5.2351036610599995e-14
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-630094161.627,5363872.3656,-630094161.627,-626301331.104,-633886992.15,-633507709.098,-626680614.156,2.0,28771126754400.0,0.249963898917,0.0155944525465,0.249546279492,63,0.250000998773,5.2351036610599995e-14
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-650298387.327,5086452.07471,-650298387.327,-646701722.572,-653895052.081,-653535385.605,-647061389.048,2.0,25871994708300.0,0.125018050542,0.00389968004944,0.249546279492,20,0.124998601718,5.2351036610599995e-14
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-686634790.392,278605.493099,-686634790.392,-686437786.559,-686831794.226,-686812093.842,-686457486.942,2.0,77621020784.7,0.25,0.0156534200683,0.250453720508,82,0.250000998773,5.2351036610599995e-14
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-700529914.369,26112243.6694,-700529914.369,-682065769.798,-718994058.94,-717147644.483,-683912184.255,2.0,681849269450000.0,0.25,0.0155965801582,0.249546279492,39,0.249999001227,5.2351036610599995e-14
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-728005347.287,1379187.24575,-728005347.287,-727030114.633,-728980579.941,-728883056.676,-727127637.899,2.0,1902157458840.0,0.125018050542,0.00195695849761,0.125226860254,101,0.125000399509,5.2351036610599995e-14
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-736455076.89,890072.635111,-736455076.89,-735825700.494,-737084453.286,-737021515.647,-735888638.134,2.0,792229295774.0,0.249963898917,0.0156511596467,0.250453720508,58,0.250000998773,5.2351036610599995e-14
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-756303191.442,32709782.6577,-756303191.442,-733173882.313,-779432500.57,-777119569.657,-735486813.226,2.0,1069929881520000.0,0.125018050542,0.0039138888497,0.125226860254,50,0.249999001227,5.2351036610599995e-14
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-801415753.589,6027493.10165,-801415753.589,-797153672.344,-805677834.835,-805251626.711,-797579880.468,2.0,36330673090500.0,0.25,0.00391329560733,0.125226860254,4,0.124998601718,5.2351036610599995e-14
