smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity,PointProbability
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,623621109.93,259447.246706,623621109.93,623804566.837,623437653.022,623455998.713,623786221.146,2.0,67312873823.4,0.125226860254,0.0039138888497,0.249999001227,26,0.125018050542,5.2351036610599995e-14
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,389340342.331,3018374.6003,389340342.331,391474655.479,387206029.183,387419460.498,391261224.164,2.0,9110585227720.0,0.125226860254,0.00391329560733,0.124998601718,2,0.25,5.2351036610599995e-14
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,355163169.088,5117039.19499,355163169.088,358781462.202,351544875.974,351906705.285,358419632.891,2.0,26184090123100.0,0.125226860254,0.0039139201225,0.250000998773,51,0.125018050542,5.2351036610599995e-14
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,278531140.378,19224350.0966,278531140.378,292124808.695,264937472.061,266296838.892,290765441.863,2.0,369575636638000.0,0.250453720508,0.0156532949952,0.249999001227,32,0.25,5.2351036610599995e-14
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,178358776.845,21330548.4757,178358776.845,193441752.319,163275801.372,164784098.919,191933454.772,2.0,454992298272000.0,0.125226860254,0.00782664749759,0.249999001227,27,0.25,5.2351036610599995e-14
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,98421987.6349,2581795.34226,98421987.6349,100247592.629,96596382.6408,96778943.1402,100065032.13,2.0,6665667189340.0,0.125226860254,0.0039139201225,0.250000998773,76,0.125018050542,5.2351036610599995e-14
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,60054906.4851,9875330.6002,60054906.4851,67037819.7189,53071993.2512,53770284.5746,66339528.3956,2.0,97522154463200.0,0.250453720508,0.00782546102098,0.124998601718,8,0.249963898917,5.2351036610599995e-14
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,29486815.4509,1331284.34785,29486815.4509,30428175.6409,28545455.2608,28639591.2798,30334039.6219,2.0,1772318014820.0,0.250453720508,0.0156534200683,0.250000998773,57,0.25,5.2351036610599995e-14
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-62822451.664,26058756.0669,-62822451.664,-44396128.5398,-81248774.7882,-79406142.4757,-46238760.8522,2.0,679058767755000.0,0.249546279492,0.0155943279445,0.249999001227,38,0.249963898917,5.2351036610599995e-14
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-72461355.307,3784869.80508,-72461355.307,-69785048.2019,-75137662.4121,-74870031.7015,-70052678.9124,2.0,14325239441400.0,0.125226860254,0.00782671003417,0.250000998773,52,0.25,5.2351036610599995e-14
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-106425408.093,13776462.6873,-106425408.093,-96683977.9061,-116166838.28,-115192695.261,-97658120.9247,2.0,189790924174000.0,0.125226860254,0.00391273051049,0.124998601718,3,0.249963898917,5.2351036610599995e-14
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-130907100.868,28751828.614,-130907100.868,-110576487.883,-151237713.852,-149204652.554,-112609549.182,2.0,826667648647000.0,0.249546279492,0.00779823400012,0.124998601718,19,0.25,5.2351036610599995e-14
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-143369471.699,10352634.5135,-143369471.699,-136049053.631,-150689889.767,-149957847.96,-136781095.438,2.0,107177041371000.0,0.250453720508,0.0156510345916,0.249999001227,33,0.249963898917,5.2351036610599995e-14
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-170507387.248,5356236.14378,-170507387.248,-166719956.349,-174294818.147,-173916075.057,-167098699.439,2.0,28689265628000.0,0.125226860254,0.00195695849761,0.125000399509,101,0.125018050542,5.2351036610599995e-14
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-252584675.071,13849560.9293,-252584675.071,-242791556.621,-262377793.52,-261398481.675,-243770868.466,2.0,191810337935000.0,0.250453720508,0.0156534200683,0.250000998773,82,0.25,5.2351036610599995e-14
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-259900439.5,8585734.59796,-259900439.5,-253829408.345,-265971470.656,-265364367.54,-254436511.46,2.0,73714838586600.0,0.249546279492,0.00779823400012,0.124998601718,14,0.25,5.2351036610599995e-14
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-264831572.438,2236879.57614,-264831572.438,-263249859.721,-266413285.155,-266255113.884,-263408030.993,2.0,5003630238130.0,0.125226860254,0.00782551729578,0.249999001227,28,0.249963898917,5.2351036610599995e-14
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-315067582.034,5462875.5029,-315067582.034,-311204745.721,-318930418.347,-318544134.715,-311591029.352,2.0,29843008760200.0,0.249546279492,0.0155944525465,0.250000998773,63,0.249963898917,5.2351036610599995e-14
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-350326190.235,15652844.0428,-350326190.235,-339257958.067,-361394422.402,-360287599.185,-340364781.284,2.0,245011526629000.0,0.125226860254,0.00782671003417,0.250000998773,77,0.25,5.2351036610599995e-14
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-355880728.429,14239736.4728,-355880728.429,-345811714.207,-365949742.651,-364942841.229,-346818615.629,2.0,202770094815000.0,0.249546279492,0.0155965801582,0.249999001227,44,0.25,5.2351036610599995e-14
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-382317298.839,23439846.1864,-382317298.839,-365742824.65,-398891773.027,-397234325.608,-367400272.069,2.0,549426389244000.0,0.125226860254,0.00195693035208,0.124998601718,25,0.125018050542,5.2351036610599995e-14
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-413512059.49,162336.644245,-413512059.49,-413397270.148,-413626848.831,-413615369.897,-413408749.082,2.0,26353186064.6,0.250453720508,0.00782659121466,0.124998601718,9,0.25,5.2351036610599995e-14
