smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,746414219.368,150802.243312,746414219.368,746520852.657,746307586.079,746318249.408,746510189.328,2.0,22741316587.8,0.125018050542,0.00391384975812,0.125226860254,0.249996504259,26,1.83230531396e-13
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,692839577.258,218532.172701,692839577.258,692994102.84,692685051.677,692700504.235,692978650.282,2.0,47756310505.3,0.125018050542,0.00391395921408,0.125226860254,0.250003495741,51,1.83230531396e-13
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,639125832.328,229447.076442,639125832.328,639288075.911,638963588.744,638979813.102,639271851.553,2.0,52645960887.7,0.125018050542,0.00391395921408,0.125226860254,0.250003495741,76,1.83230531396e-13
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,584427474.546,58280.098938,584427474.546,584468684.799,584386264.293,584390385.318,584464563.774,2.0,3396569932.22,0.125018050542,0.00195697413424,0.125226860254,0.125001398296,101,1.83230531396e-13
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,528427485.692,1607234.32823,528427485.692,529563971.984,527290999.399,527404648.028,529450323.355,2.0,2583202185840.0,0.25,0.0156531386514,0.250453720508,0.249996504259,32,1.83230531396e-13
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,472302692.023,1098586.42804,472302692.023,473079509.936,471525874.11,471603555.901,473001828.145,2.0,1206892139870.0,0.25,0.0156535764121,0.250453720508,0.250003495741,57,1.83230531396e-13
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,456082420.845,2029456.7632,456082420.845,457517463.485,454647378.206,454790882.47,457373959.221,2.0,4118694753690.0,0.25,0.00782656932572,0.125226860254,0.249996504259,27,1.83230531396e-13
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,438085785.679,482859.918631,438085785.679,438427219.202,437744352.156,437778495.509,438393075.85,2.0,233153701020.0,0.25,0.00391318616671,0.125226860254,0.124995105963,2,1.83230531396e-13
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,418512522.216,1092385.84097,418512522.216,419284955.652,417740088.78,417817332.124,419207712.309,2.0,1193306825540.0,0.25,0.0156535764121,0.250453720508,0.250003495741,82,1.83230531396e-13
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,398285252.721,547333.462202,398285252.721,398672275.924,397898229.518,397936931.838,398633573.603,2.0,299573918846.0,0.25,0.00782678820604,0.125226860254,0.250003495741,52,1.83230531396e-13
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,365540340.547,772130.684907,365540340.547,366086319.39,364994361.703,365048959.588,366031721.506,2.0,596185794574.0,0.25,0.00782676631801,0.250453720508,0.125001398296,107,1.83230531396e-13
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,344299646.437,70979.1689039,344299646.437,344349836.288,344249456.585,344254475.57,344344817.303,2.0,5038042418.29,0.25,0.00782678820604,0.125226860254,0.250003495741,77,1.83230531396e-13
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,313351674.173,2477694.62373,313351674.173,315103668.843,311599679.503,311774878.97,314928469.376,2.0,6138970648440.0,0.249963898917,0.0155941721897,0.249546279492,0.249996504259,38,1.83230531396e-13
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,286158955.719,1837999.46662,286158955.719,287458617.605,284859293.832,284989260.021,287328651.417,2.0,3378242039290.0,0.25,0.003913383159,0.125226860254,0.125001398296,102,1.83230531396e-13
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,266975652.875,1259774.44401,266975652.875,267866447.927,266084857.823,266173937.328,267777368.422,2.0,1587031649780.0,0.249963898917,0.0155946083013,0.249546279492,0.250003495741,63,1.83230531396e-13
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,237532676.091,1309137.56739,237532676.091,238458376.143,236606976.04,236699546.045,238365806.138,2.0,1713841170360.0,0.249963898917,0.0156508782704,0.250453720508,0.249996504259,33,1.83230531396e-13
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,223653261.781,1447659.56701,223653261.781,224676911.678,222629611.884,222731976.874,224574546.688,2.0,2095718221960.0,0.249963898917,0.00782524217136,0.250453720508,0.124995105963,8,1.83230531396e-13
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,206721940.722,104251.742028,206721940.722,206795657.836,206648223.608,206655595.32,206788286.124,2.0,10868425715.9,0.249963898917,0.0155946083013,0.249546279492,0.250003495741,88,1.83230531396e-13
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,181878175.287,1647639.12399,181878175.287,183043232.085,180713118.49,180829624.17,182926726.405,2.0,2714714682890.0,0.249963898917,0.0156513159678,0.250453720508,0.250003495741,58,1.83230531396e-13
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,172147044.201,4629250.06782,172147044.201,175420418.316,168873670.086,169201007.498,175093080.904,2.0,21429956190400.0,0.25,0.00779801591193,0.249546279492,0.124995105963,19,1.83230531396e-13
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,151282779.712,686409.006105,151282779.712,151768144.175,150797415.249,150845951.696,151719607.729,2.0,471157323663.0,0.249963898917,0.00779728234506,0.249546279492,0.125001398296,113,1.83230531396e-13
