smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,486186522.892,123118.885866,486186522.892,486273581.091,486099464.693,486108170.513,486264875.271,2.0,15158260056.9,0.125226860254,26,1.83230531396e-13,0.00391384975812,0.249996504259,0.125018050542
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,388478720.317,87563.5284325,388478720.317,388540637.082,388416803.553,388422995.229,388534445.406,2.0,7667371511.55,0.125226860254,51,1.83230531396e-13,0.00391395921408,0.250003495741,0.125018050542
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,309635549.798,406219.223289,309635549.798,309922790.165,309348309.43,309377033.467,309894066.128,2.0,165014057369.0,0.250453720508,32,1.83230531396e-13,0.0156531386514,0.249996504259,0.25
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,292397007.702,732777.41956,292397007.702,292915159.585,291878855.82,291930671.008,292863344.396,2.0,536962746617.0,0.125226860254,76,1.83230531396e-13,0.00391395921408,0.250003495741,0.125018050542
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,221428134.348,2733230.9297,221428134.348,223360820.473,219495448.223,219688716.835,223167551.86,2.0,7470551315060.0,0.125226860254,2,1.83230531396e-13,0.00391318616671,0.124995105963,0.25
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,210100272.914,703290.612303,210100272.914,210597574.475,209602971.353,209652701.509,210547844.319,2.0,494617685353.0,0.250453720508,57,1.83230531396e-13,0.0156535764121,0.250003495741,0.25
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,195642997.211,806086.833008,195642997.211,196212986.677,195073007.745,195130006.692,196155987.73,2.0,649775982349.0,0.125226860254,101,1.83230531396e-13,0.00195697413424,0.125001398296,0.125018050542
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,195333478.689,652383.854554,195333478.689,195794783.737,194872173.642,194918304.147,195748653.232,2.0,425604693682.0,0.125226860254,27,1.83230531396e-13,0.00782656932572,0.249996504259,0.25
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,136632781.008,1855907.43535,136632781.008,137945105.74,135320456.275,135451688.748,137813873.267,2.0,3444392408600.0,0.249546279492,38,1.83230531396e-13,0.0155941721897,0.249996504259,0.249963898917
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,112846546.289,324021.961287,112846546.289,113075664.415,112617428.163,112640339.975,113052752.602,2.0,104990231396.0,0.250453720508,82,1.83230531396e-13,0.0156535764121,0.250003495741,0.25
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,95534017.3513,327934.037354,95534017.3513,95765901.7329,95302132.9697,95325321.4079,95742713.2948,2.0,107540732855.0,0.125226860254,52,1.83230531396e-13,0.00782678820604,0.250003495741,0.25
