smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,587362739.624,238940.953644,587362739.624,587531696.393,587193782.855,587210678.532,587514800.716,2.0,57092779328.3,0.00391384975812,0.125018050542,1.83230531396e-13,0.249996504259,0.125226860254,26
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,509524214.492,335168.343912,509524214.492,509761214.301,509287214.683,509310914.664,509737514.32,2.0,112337818761.0,0.00391395921408,0.125018050542,1.83230531396e-13,0.250003495741,0.125226860254,51
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,431450087.911,325858.295377,431450087.911,431680504.522,431219671.301,431242712.962,431657462.861,2.0,106183628666.0,0.00391395921408,0.125018050542,1.83230531396e-13,0.250003495741,0.125226860254,76
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,353574405.893,146363.402946,353574405.893,353677900.448,353470911.339,353481260.794,353667550.993,2.0,21422245721.9,0.00195697413424,0.125018050542,1.83230531396e-13,0.125001398296,0.125226860254,101
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,306438715.081,830368.885753,306438715.081,307025874.551,305851555.611,305910271.558,306967158.604,2.0,689512486427.0,0.0156531386514,0.25,1.83230531396e-13,0.249996504259,0.250453720508,32
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,228144372.873,582009.002186,228144372.873,228555915.385,227732830.361,227773984.612,228514761.134,2.0,338734478626.0,0.0156535764121,0.25,1.83230531396e-13,0.250003495741,0.250453720508,57
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,221567629.503,3024849.53899,221567629.503,223706521.124,219428737.882,219642627.044,223492631.962,2.0,9149714733530.0,0.00391318616671,0.25,1.83230531396e-13,0.124995105963,0.125226860254,2
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,196806523.5,1020918.01773,196806523.5,197528421.553,196084625.447,196156815.252,197456231.748,2.0,1042273598920.0,0.00782656932572,0.25,1.83230531396e-13,0.249996504259,0.125226860254,27
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,150825452.389,2455398.28594,150825452.389,152561681.168,149089223.611,149262846.489,152388058.29,2.0,6028980742600.0,0.0156535764121,0.25,1.83230531396e-13,0.250003495741,0.250453720508,82
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,117949944.932,700569.882085,117949944.932,118445322.646,117454567.217,117504104.989,118395784.874,2.0,490798159684.0,0.00782678820604,0.25,1.83230531396e-13,0.250003495741,0.125226860254,52
