smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,770185518.883,107541.911048,770185518.883,770261562.497,770109475.268,770117079.63,770253958.136,2.0,11565262631.9,0.125018050542,0.125226860254,1.83230531396e-13,26,0.00391384975812,0.249996504259
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,694285451.472,17044.6833803,694285451.472,694297503.883,694273399.061,694274604.302,694296298.642,2.0,290521231.536,0.125018050542,0.125226860254,1.83230531396e-13,51,0.00391395921408,0.250003495741
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,619339842.324,208175.468016,619339842.324,619487044.61,619192640.039,619207360.268,619472324.381,2.0,43337025483.5,0.125018050542,0.125226860254,1.83230531396e-13,76,0.00391395921408,0.250003495741
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,544355772.9,898054.427793,544355772.9,544990793.276,543720752.524,543784254.562,544927291.238,2.0,806501755279.0,0.125018050542,0.125226860254,1.83230531396e-13,101,0.00195697413424,0.125001398296
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,538955579.602,1096662.53928,538955579.602,539731037.12,538180122.083,538257667.835,539653491.368,2.0,1202668725060.0,0.25,0.250453720508,1.83230531396e-13,32,0.0156531386514,0.249996504259
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,464055030.111,597670.394911,464055030.111,464477646.9,463632413.322,463674675.001,464435385.221,2.0,357209900953.0,0.25,0.250453720508,1.83230531396e-13,57,0.0156535764121,0.250003495741
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,453921819.006,1142602.43662,453921819.006,454729760.937,453113877.074,453194671.268,454648966.744,2.0,1305540328180.0,0.25,0.125226860254,1.83230531396e-13,2,0.00391318616671,0.124995105963
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,445134081.331,259761.029392,445134081.331,445317760.116,444950402.545,444968770.424,445299392.238,2.0,67475792390.5,0.25,0.125226860254,1.83230531396e-13,27,0.00782656932572,0.249996504259
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,387716167.602,2679203.4993,387716167.602,389610650.564,385821684.639,386011132.936,389421202.268,2.0,7178131390650.0,0.25,0.250453720508,1.83230531396e-13,82,0.0156535764121,0.250003495741
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,368013636.298,1472613.40512,368013636.298,369054931.223,366972341.373,367076470.866,368950801.73,2.0,2168590240930.0,0.25,0.125226860254,1.83230531396e-13,52,0.00782678820604,0.250003495741
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,314245043.148,1188353.17182,314245043.148,315085335.734,313404750.562,313488779.82,315001306.476,2.0,1412183260980.0,0.249963898917,0.249546279492,1.83230531396e-13,38,0.0155941721897,0.249996504259
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,312446633.227,3034923.58414,312446633.227,314592648.274,310300618.181,310515219.685,314378046.77,2.0,9210761161550.0,0.25,0.250453720508,1.83230531396e-13,107,0.00782676631801,0.125001398296
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,291338569.264,2372806.26647,291338569.264,293016396.665,289660741.862,289828524.603,292848613.925,2.0,5630209578200.0,0.25,0.125226860254,1.83230531396e-13,77,0.00782678820604,0.250003495741
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,240935379.739,1502236.16252,240935379.739,241997621.117,239873138.362,239979362.5,241891396.979,2.0,2256713487970.0,0.249963898917,0.249546279492,1.83230531396e-13,63,0.0155946083013,0.250003495741
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,226828950.902,1442078.88541,226828950.902,227848654.661,225809247.143,225911217.519,227746684.285,2.0,2079591511740.0,0.249963898917,0.250453720508,1.83230531396e-13,8,0.00782524217136,0.124995105963
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,215910662.896,28561.9800992,215910662.896,215930859.266,215890466.526,215892486.163,215928839.629,2.0,815786707.19,0.25,0.125226860254,1.83230531396e-13,102,0.003913383159,0.125001398296
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,211960336.309,549701.878837,211960336.309,212349034.235,211571638.383,211610508.175,212310164.442,2.0,302172155597.0,0.249963898917,0.250453720508,1.83230531396e-13,33,0.0156508782704,0.249996504259
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,180922584.799,5698986.1064,180922584.799,184952376.52,176892793.077,177295772.249,184549397.348,2.0,32478442640900.0,0.25,0.249546279492,1.83230531396e-13,19,0.00779801591193,0.124995105963
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,163114308.426,5735198.86016,163114308.426,167169706.431,159058910.42,159464450.221,166764166.631,2.0,32892505965600.0,0.249963898917,0.249546279492,1.83230531396e-13,88,0.0155946083013,0.250003495741
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,138364255.462,1704192.1796,138364255.462,139569301.309,137159209.615,137279714.2,139448796.724,2.0,2904270985020.0,0.249963898917,0.250453720508,1.83230531396e-13,58,0.0156513159678,0.250003495741
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,107975361.452,3313563.66364,107975361.452,110318404.789,105632318.116,105866622.449,110084100.455,2.0,10979704153000.0,0.25,0.249546279492,1.83230531396e-13,44,0.015596424381,0.249996504259
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,90471628.0503,2002108.70593,90471628.0503,91887332.693,89055923.4077,89197493.8719,91745762.2287,2.0,4008439270360.0,0.249963898917,0.125226860254,1.83230531396e-13,28,0.0078254391352,0.249996504259
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,89595906.3433,877793.495,89595906.3433,90216600.0761,88975212.6105,89037281.9838,90154530.7028,2.0,770521419863.0,0.249963898917,0.249546279492,1.83230531396e-13,113,0.00779728234506,0.125001398296
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,65777906.9292,279989.271701,65777906.9292,65975889.2418,65579924.6165,65599722.8478,65956091.0106,2.0,78393992267.9,0.249963898917,0.250453720508,1.83230531396e-13,83,0.0156513159678,0.250003495741
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,60296885.7205,6514.08890942,60296885.7205,60301491.877,60292279.5641,60292740.1797,60301031.2613,2.0,42433354.3198,0.249963898917,0.125226860254,1.83230531396e-13,3,0.00391262108568,0.124995105963
