smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,616103789.853,118739.592036,616103789.853,616187751.424,616019828.282,616028224.439,616179355.266,2.0,14099090716.8,0.00391384975812,0.125018050542,1.83230531396e-13,26,0.249996504259,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,540718991.109,42141.1282234,540718991.109,540748789.386,540689192.831,540692172.659,540745809.559,2.0,1775874687.94,0.00391395921408,0.125018050542,1.83230531396e-13,51,0.250003495741,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,465168839.962,600073.86131,465168839.962,465593156.258,464744523.665,464786955.295,465550724.629,2.0,360088639027.0,0.00391395921408,0.125018050542,1.83230531396e-13,76,0.250003495741,0.125226860254
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,418812936.535,389860.708702,418812936.535,419088609.686,418537263.384,418564830.699,419061042.371,2.0,151991372190.0,0.0156531386514,0.25,1.83230531396e-13,32,0.249996504259,0.250453720508
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,390107810.688,110303.653929,390107810.688,390185807.15,390029814.226,390037613.873,390178007.504,2.0,12166896070.1,0.00195697413424,0.125018050542,1.83230531396e-13,101,0.125001398296,0.125226860254
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,343120038.984,1241637.07498,343120038.984,343998008.98,342242068.989,342329865.988,343910211.98,2.0,1541662625970.0,0.0156535764121,0.25,1.83230531396e-13,57,0.250003495741,0.250453720508
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,330073386.016,3345189.33081,330073386.016,332438792.076,327707979.956,327944520.562,332202251.47,2.0,11190291659000.0,0.00391318616671,0.25,1.83230531396e-13,2,0.124995105963,0.125226860254
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,324098368.855,731241.736957,324098368.855,324615434.846,323581302.864,323633009.463,324563728.246,2.0,534714477868.0,0.00782656932572,0.25,1.83230531396e-13,27,0.249996504259,0.125226860254
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,265374038.562,996111.215414,265374038.562,266078395.557,264669681.567,264740117.266,266007959.858,2.0,992237553473.0,0.0156535764121,0.25,1.83230531396e-13,82,0.250003495741,0.250453720508
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,248234672.254,4508966.77632,248234672.254,251422993.238,245046351.271,245365183.369,251104161.14,2.0,20330781390000.0,0.00782678820604,0.25,1.83230531396e-13,52,0.250003495741,0.125226860254
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,226357098.104,3799754.32983,226357098.104,229043930.158,223670266.051,223938949.256,228775246.952,2.0,14438132967000.0,0.0155941721897,0.249963898917,1.83230531396e-13,38,0.249996504259,0.249546279492
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,193758450.098,1085046.45095,193758450.098,194525693.801,192991206.394,193067930.764,194448969.431,2.0,1177325800720.0,0.00782676631801,0.25,1.83230531396e-13,107,0.125001398296,0.250453720508
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,173636837.603,1379872.56638,173636837.603,174612554.852,172661120.354,172758692.079,174514983.127,2.0,1904048299440.0,0.00782678820604,0.25,1.83230531396e-13,77,0.250003495741,0.125226860254
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,153003130.949,480744.947826,153003130.949,153343068.962,152663192.937,152697186.738,153309075.161,2.0,231115704860.0,0.0155946083013,0.249963898917,1.83230531396e-13,63,0.250003495741,0.249546279492
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,137332666.212,3570217.04858,137332666.212,139857190.897,134808141.527,135060593.995,139604738.429,2.0,12746449773900.0,0.00782524217136,0.249963898917,1.83230531396e-13,8,0.124995105963,0.250453720508
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,128230241.245,1983104.03807,128230241.245,129632507.558,126827974.932,126968201.563,129492280.927,2.0,3932701625820.0,0.0156508782704,0.249963898917,1.83230531396e-13,33,0.249996504259,0.250453720508
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,120107280.508,4968397.67911,120107280.508,123620468.199,116594092.818,116945411.587,123269149.43,2.0,24684975497800.0,0.00779801591193,0.25,1.83230531396e-13,19,0.124995105963,0.249546279492
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,95673163.1357,2038848.73377,95673163.1357,97114846.9012,94231479.3703,94375647.7468,96970678.5247,2.0,4156904159180.0,0.003913383159,0.25,1.83230531396e-13,102,0.125001398296,0.125226860254
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,75803176.3582,2695712.89571,75803176.3582,77709333.2269,73897019.4895,74087635.1764,77518717.54,2.0,7266868016120.0,0.0155946083013,0.249963898917,1.83230531396e-13,88,0.250003495741,0.249546279492
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,52230936.5649,5772616.75802,52230936.5649,56312793.0197,48149080.1101,48557265.7556,55904607.3742,2.0,33323104235000.0,0.015596424381,0.25,1.83230531396e-13,44,0.249996504259,0.249546279492
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,48942291.1786,2745712.8064,48942291.1786,50883803.3232,47000779.034,47194930.2484,50689652.1087,2.0,7538938815240.0,0.0156513159678,0.249963898917,1.83230531396e-13,58,0.250003495741,0.250453720508
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1647554.37714,2495876.183,1647554.37714,3412405.35115,-117296.596863,59188.5005379,3235920.25374,2.0,6229397920890.0,0.00779728234506,0.249963898917,1.83230531396e-13,113,0.125001398296,0.249546279492
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1475589.60119,2046420.17871,-1475589.60119,-28552.0156664,-2922627.18671,-2777923.42815,-173255.774218,2.0,4187835547820.0,0.0078254391352,0.249963898917,1.83230531396e-13,28,0.249996504259,0.125226860254
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-24285736.4392,1682193.22805,-24285736.4392,-23096246.2003,-25475226.678,-25356277.6541,-23215195.2242,2.0,2829774056500.0,0.00391262108568,0.249963898917,1.83230531396e-13,3,0.124995105963,0.125226860254
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-24697326.9081,2205511.22002,-24697326.9081,-23137794.9685,-26256858.8478,-26100905.6538,-23293748.1624,2.0,4864279741640.0,0.0155968605555,0.25,1.83230531396e-13,69,0.250003495741,0.249546279492
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-26035289.1325,6804488.42242,-26035289.1325,-21223789.2265,-30846789.0385,-30365639.0479,-21704939.2171,2.0,46301062690800.0,0.00195687562387,0.125018050542,1.83230531396e-13,25,0.124995105963,0.125226860254
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-30149738.067,3557484.38659,-30149738.067,-27634216.7333,-32665259.4008,-32413707.2674,-27885768.8667,2.0,12655695160800.0,0.0156513159678,0.249963898917,1.83230531396e-13,83,0.250003495741,0.250453720508
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-37278700.2146,3394482.53082,-37278700.2146,-34878438.5985,-39678961.8308,-39438935.6692,-35118464.7601,2.0,11522511652000.0,0.00779801591193,0.25,1.83230531396e-13,14,0.124995105963,0.249546279492
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-60302350.0338,1228839.91539,-60302350.0338,-59433428.9966,-61171271.071,-61084378.9672,-59520321.1004,2.0,1510047537650.0,0.015596424381,0.25,1.83230531396e-13,39,0.249996504259,0.249546279492
