smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1459268105.84,391264.240642,-1459268105.84,-1458991440.24,-1459544771.44,-1459517104.88,-1459019106.8,2.0,153087706005.0,1.28667840979e-13,0.0714285714286,0.0714229782537,0.000364520499613,1,0.0714516129032
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1513825186.41,555001.807192,-1513825186.41,-1513432740.87,-1514217631.95,-1514178387.4,-1513471985.42,2.0,308027005986.0,1.28667840979e-13,0.0714285714286,0.14285279261,0.000729075888551,65,0.0714516129032
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,229875.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1569221961.67,397370.050914,-1569221961.67,-1568940978.61,-1569502944.73,-1569474846.42,-1568969076.92,2.0,157902957364.0,1.28667840979e-13,0.0714285714286,0.142859007249,0.00072910760612,129,0.0714516129032
720.0,-667.0,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1711722375.15,11710.3342782,-1711722375.15,-1711714094.7,-1711730655.61,-1711729827.57,-1711714922.74,2.0,137131928.906,1.28667840979e-13,0.142857142857,0.0714229782537,0.000729040999226,2,0.0714516129032
720.0,-667.0,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1717328486.0,1104001.75017,-1717328486.0,-1716547838.88,-1718109133.13,-1718031068.42,-1716625903.59,2.0,1218819864370.0,1.28667840979e-13,0.142857142857,0.14285279261,0.0014581517771,66,0.0714516129032
720.0,-489.9,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1756062831.76,109959.806116,-1756062831.76,-1755985078.44,-1756140585.09,-1756132809.75,-1755992853.77,2.0,12091158961.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.00145725915308,19,0.142822580645
720.0,-667.0,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,229875.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1773242470.04,1243429.64294,-1773242470.04,-1772363232.5,-1774121707.57,-1774033783.82,-1772451156.26,2.0,1546117276940.0,1.28667840979e-13,0.142857142857,0.142859007249,0.00145821521224,130,0.0714516129032
720.0,-489.9,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1809465596.66,142916.396641,-1809465596.66,-1809364539.51,-1809566653.82,-1809556548.1,-1809374645.23,2.0,20425096428.9,1.28667840979e-13,0.142857142857,0.14285279261,0.00291465778471,83,0.142822580645
720.0,-578.4,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1860085874.37,1386513.83754,-1860085874.37,-1859105461.03,-1861066287.7,-1860968246.37,-1859203502.36,2.0,1922420621700.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.00145725915308,11,0.142822580645
720.0,-578.4,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1864552255.51,70957.0119156,-1864552255.51,-1864502081.33,-1864602429.7,-1864597412.28,-1864507098.75,2.0,5034897539.99,1.28667840979e-13,0.142857142857,0.14285279261,0.00291465778471,75,0.142822580645
