smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-93574784.6226,655290.285904,-93574784.6226,-93111424.4178,-94038144.8274,-93991808.807,-93157760.4383,2.0,429405358800.0,1,0.0019534572599,0.125039974416,1.28632009175e-11,0.125,0.124981296198
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-114844665.407,53893.1071912,-114844665.407,-114806557.226,-114882773.589,-114878962.771,-114810368.044,2.0,2904467002.73,26,0.00390730430694,0.125039974416,1.28632009175e-11,0.125,0.249987530799
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-134029515.377,579217.47868,-134029515.377,-133619946.77,-134439083.984,-134398127.123,-133660903.63,2.0,335492887608.0,7,0.00780883298521,0.249920051167,1.28632009175e-11,0.25,0.124981296198
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-136213585.128,602211.326153,-136213585.128,-135787757.416,-136639412.841,-136596830.069,-135830340.187,2.0,362658481346.0,51,0.00390769409408,0.125039974416,1.28632009175e-11,0.125,0.250012469201
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-154781310.087,235712.414253,-154781310.087,-154614636.24,-154947983.933,-154931316.548,-154631303.625,2.0,55560342233.0,32,0.0156192241221,0.249920051167,1.28632009175e-11,0.25,0.249987530799
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-157161680.945,321232.902591,-157161680.945,-156934534.981,-157388826.909,-157366112.312,-156957249.577,2.0,103190577707.0,76,0.00390769409408,0.125039974416,1.28632009175e-11,0.125,0.250012469201
240.0,-125.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-171332944.403,1284707.44797,-171332944.403,-170424519.055,-172241369.751,-172150527.217,-170515361.59,2.0,1650473226860.0,13,0.00780883298521,0.249920051167,1.28632009175e-11,0.25,0.124981296198
240.0,-187.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-172310438.639,821458.769489,-172310438.639,-171729579.573,-172891297.706,-172833211.799,-171787665.48,2.0,674794509970.0,2,0.00390441649261,0.249920051167,1.28632009175e-11,0.125,0.124981296198
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-175235876.879,240724.311916,-175235876.879,-175065659.085,-175406094.672,-175389072.893,-175082680.865,2.0,57948194347.4,57,0.0156207822738,0.249920051167,1.28632009175e-11,0.25,0.250012469201
240.0,-187.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-177065765.862,38597.9807919,-177065765.862,-177038472.968,-177093058.755,-177090329.466,-177041202.257,2.0,1489804121.21,27,0.00780961206106,0.249920051167,1.28632009175e-11,0.125,0.249987530799
