smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,PointProbability
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,325315617.614,432339.786588,325315617.614,325621328.009,325009907.219,325040478.259,325590756.97,2.0,186917691067.0,0.125018050542,0.249996504259,0.00391384975812,26,0.125226860254,1.83230531396e-13
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,250145323.653,32558.9354446,250145323.653,250168346.297,250122301.009,250124603.274,250166044.033,2.0,1060084277.29,0.125018050542,0.250003495741,0.00391395921408,51,0.125226860254,1.83230531396e-13
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,186340880.365,1137553.80499,186340880.365,187145252.375,185536508.356,185616945.557,187064815.174,2.0,1294028659250.0,0.25,0.249996504259,0.0156531386514,32,0.250453720508,1.83230531396e-13
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,174213823.161,242844.02086,174213823.161,174385539.815,174042106.507,174059278.172,174368368.149,2.0,58973218467.5,0.125018050542,0.250003495741,0.00391395921408,76,0.125226860254,1.83230531396e-13
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,110165440.054,24106.5069553,110165440.054,110182485.929,110148394.18,110150098.767,110180781.341,2.0,581123677.587,0.25,0.250003495741,0.0156535764121,57,0.250453720508,1.83230531396e-13
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,97626975.074,510451.318889,97626975.074,97987918.6631,97266031.485,97302125.8439,97951824.3042,2.0,260560548956.0,0.125018050542,0.125001398296,0.00195697413424,101,0.125226860254,1.83230531396e-13
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,97366452.7584,759746.593231,97366452.7584,97903674.7265,96829230.7904,96882952.9872,97849952.5297,2.0,577214885927.0,0.25,0.124995105963,0.00391318616671,2,0.125226860254,1.83230531396e-13
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,92247184.1299,2068031.9106,92247184.1299,93709503.5176,90784864.7422,90931096.681,93563271.5788,2.0,4276755983280.0,0.25,0.249996504259,0.00782656932572,27,0.125226860254,1.83230531396e-13
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,56099735.4603,3976395.16512,56099735.4603,58911471.4462,53287999.4743,53569173.0729,58630297.8476,2.0,15811718509200.0,0.249963898917,0.249996504259,0.0155941721897,38,0.249546279492,1.83230531396e-13
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,34049536.9642,1631846.78645,34049536.9642,35203426.8928,32895647.0357,33011036.0285,35088037.8999,2.0,2662923934450.0,0.25,0.250003495741,0.0156535764121,82,0.250453720508,1.83230531396e-13
