smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,366121950.124,15403637.3667,366121950.124,377013966.561,355229933.687,356319135.331,375924764.917,2.0,237272044126000.0,0.124999250922,2,0.125226860254,2.6175466018599997e-14,0.25,0.00391331593177
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,221305554.396,12084570.5427,221305554.396,229850636.174,212760472.617,213614980.795,228996127.996,2.0,146036845202000.0,0.124999250922,8,0.250453720508,2.6175466018599997e-14,0.249963898917,0.00782550166399
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,193141423.784,37207038.0861,193141423.784,219450772.722,166832074.845,169463009.739,216819837.828,2.0,1384363683140000.0,0.124999250922,19,0.249546279492,2.6175466018599997e-14,0.25,0.00779827450171
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,185578965.926,406615.828224,185578965.926,185866486.736,185291445.117,185320197.198,185837734.655,2.0,165336431762.0,0.249999500615,26,0.125226860254,2.6175466018599997e-14,0.125018050542,0.00391389666791
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,103018175.907,47489743.4075,103018175.907,136598495.507,69437856.3064,72795888.2665,133240463.547,2.0,2255275728910000.0,0.124999250922,25,0.125226860254,2.6175466018599997e-14,0.125018050542,0.00195694051577
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,41440194.4854,33318128.2012,41440194.4854,64999668.873,17880720.0979,20236667.5367,62643721.4342,2.0,1110097666830000.0,0.124999250922,14,0.249546279492,2.6175466018599997e-14,0.25,0.00779827450171
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,29254430.3301,32540931.3337,29254430.3301,52264343.5423,6244517.11789,8545508.43911,49963352.221,2.0,1058912212060000.0,0.124999250922,3,0.125226860254,2.6175466018599997e-14,0.249963898917,0.00391275083199
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,22982224.4401,11813809.5846,22982224.4401,31335849.309,14628599.5712,15463962.0581,30500486.8221,2.0,139566096900000.0,0.249999500615,32,0.250453720508,2.6175466018599997e-14,0.25,0.0156533262635
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-35167145.8146,18530994.9566,-35167145.8146,-22063753.6186,-48270538.0105,-46960198.7909,-23374092.8382,2.0,343397774081000.0,0.249999500615,27,0.125226860254,2.6175466018599997e-14,0.25,0.00782666313177
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-66927922.0917,21281904.309,-66927922.0917,-51879343.2383,-81976500.9452,-80471643.0599,-53384201.1236,2.0,452919451018000.0,0.124999250922,20,0.249546279492,2.6175466018599997e-14,0.125018050542,0.00389970030317
