smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight,prefix
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,473038452.014,13137289.945,473038452.014,482327918.821,463748985.208,464677931.889,481398972.14,2.0,172588387098000.0,0.124999250922,2.6175466018599997e-14,0.125226860254,0.25,0.00391331593177,2
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,322349825.273,3330180.69351,322349825.273,324704618.624,319995031.922,320230511.257,324469139.289,2.0,11090103451400.0,0.249999500615,2.6175466018599997e-14,0.125226860254,0.125018050542,0.00391389666791,26
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,285780047.526,4280826.59224,285780047.526,288807049.039,282753046.014,283055746.165,288504348.888,2.0,18325476312800.0,0.124999250922,2.6175466018599997e-14,0.249546279492,0.25,0.00779827450171,19
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,262764644.094,14202657.4359,262764644.094,272807439.478,252721848.71,253726128.249,271803159.94,2.0,201715478241000.0,0.124999250922,2.6175466018599997e-14,0.250453720508,0.249963898917,0.00782550166399,8
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,152661771.562,1457639.28141,152661771.562,153692478.183,151631064.942,151734135.604,153589407.521,2.0,2124712274700.0,0.124999250922,2.6175466018599997e-14,0.125226860254,0.125018050542,0.00195694051577,25
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,117704009.206,5808652.22994,117704009.206,121811346.587,113596671.824,114007405.562,121400612.849,2.0,33740440728300.0,0.249999500615,2.6175466018599997e-14,0.250453720508,0.25,0.0156533262635,32
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,110852249.618,19541311.2496,110852249.618,124670043.315,97034455.9197,98416235.2895,123288263.946,2.0,381862845352000.0,0.124999250922,2.6175466018599997e-14,0.125226860254,0.249963898917,0.00391275083199,3
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,105029670.478,42085625.8805,105029670.478,134788701.928,75270639.0271,78246542.1721,131812798.783,2.0,1771199905750000.0,0.124999250922,2.6175466018599997e-14,0.249546279492,0.25,0.00779827450171,14
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,54838562.7486,17542284.8827,54838562.7486,67242831.3467,42434294.1505,43674721.0103,66002404.4869,2.0,307731758906000.0,0.249999500615,2.6175466018599997e-14,0.125226860254,0.25,0.00782666313177,27
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-41194661.8338,4485227.3581,-41194661.8338,-38023127.1537,-44366196.5139,-44049043.0459,-38340280.6217,2.0,20117264453800.0,0.124999250922,2.6175466018599997e-14,0.249546279492,0.125018050542,0.00389970030317,20
