smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,1551195257.53,3215693.00233,1551195257.53,1553469095.86,1548921419.2,1549148803.03,1553241712.02,2.0,10340681485200.0,8.74780185431e-15,0.125,0.00195311730587,0.125,0.124999507576,1
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,1245951670.43,4340345.99785,1245951670.43,1249020758.52,1242882582.34,1243189491.15,1248713849.71,2.0,18838603381100.0,8.74780185431e-15,0.25,0.00781246922348,0.25,0.124999507576,7
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,984896064.448,33344603.7708,984896064.448,1008474259.89,961317869.006,963675688.55,1006116440.35,2.0,1111862600630000.0,8.74780185431e-15,0.25,0.00390623461174,0.125,0.124999507576,2
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,948411417.561,5348376.54735,948411417.561,952193290.886,944629544.236,945007731.569,951815103.554,2.0,28605131692200.0,8.74780185431e-15,0.25,0.00781246922348,0.25,0.124999507576,13
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,828152478.157,13760411.0123,828152478.157,837882558.096,818422398.218,819395406.212,836909550.102,2.0,189348911227000.0,8.74780185431e-15,0.125,0.00390624450419,0.125,0.249999648268,26
1200.0,-747.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,759516933.91,22032466.0502,759516933.91,775096240.061,743937627.76,745495558.375,773538309.446,2.0,485429560252000.0,8.74780185431e-15,0.25,0.00781246922348,0.25,0.124999507576,8
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,649519252.327,12880300.8623,649519252.327,658627000.41,640411504.243,641322279.052,657716225.602,2.0,165902150303000.0,8.74780185431e-15,0.25,0.00781246922348,0.25,0.124999507576,19
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,474539664.707,18801133.7401,474539664.707,487834073.868,461245255.545,462574696.461,486504632.952,2.0,353482629914000.0,8.74780185431e-15,0.25,0.0156249780168,0.25,0.249999648268,32
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,460532965.154,18261918.0421,460532965.154,473446091.239,447619839.069,448911151.677,472154778.631,2.0,333497650576000.0,8.74780185431e-15,0.25,0.00390623461174,0.125,0.124999507576,3
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,446940663.834,10291718.5937,446940663.834,454218007.841,439663319.826,440391054.227,453490273.441,2.0,105919471611000.0,8.74780185431e-15,0.25,0.00781248900839,0.125,0.249999648268,27
1200.0,-147.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,388800013.497,28233566.3373,388800013.497,408764159.711,368835867.283,370832281.904,406767745.09,2.0,797134268125000.0,8.74780185431e-15,0.125,0.00195311730587,0.125,0.124999507576,25
