smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-126522984.225,4464379.4925,-126522984.225,-123366191.212,-129679777.238,-129364097.936,-123681870.513,2.0,19930684253000.0,1.8375228834e-12,0.125,0.124997417203,0.125039974416,1,0.00195370923114
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-156708521.383,6646435.87016,-156708521.383,-152008781.509,-161408261.258,-160938287.27,-152478755.496,2.0,44175109776100.0,1.8375228834e-12,0.25,0.124997417203,0.249920051167,7,0.00780984022576
240.0,-125.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-178303478.023,185831.686448,-178303478.023,-178172075.177,-178434880.869,-178421740.584,-178185215.462,2.0,34533415688.2,1.8375228834e-12,0.25,0.124997417203,0.249920051167,13,0.00780984022576
240.0,-187.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-194741789.158,662384.93548,-194741789.158,-194273412.278,-195210166.037,-195163328.349,-194320249.966,2.0,438753802750.0,1.8375228834e-12,0.125,0.124997417203,0.249920051167,2,0.00390492011288
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-200643124.167,5280100.3545,-200643124.167,-196909529.401,-204376718.933,-204003359.456,-197282888.878,2.0,27879459753600.0,1.8375228834e-12,0.25,0.124997417203,0.250079948833,19,0.00781483692457
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-217249538.826,828641.951837,-217249538.826,-216663600.483,-217835477.17,-217776883.335,-216722194.317,2.0,686647484344.0,1.8375228834e-12,0.125,0.124997417203,0.125039974416,25,0.00195370923114
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-220666583.331,417885.964851,-220666583.331,-220371093.332,-220962073.331,-220932524.331,-220400642.332,2.0,174628679620.0,1.8375228834e-12,0.25,0.124997417203,0.249920051167,8,0.00780984022576
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-238779267.193,5703207.32437,-238779267.193,-234746490.619,-242812043.766,-242408766.109,-235149768.276,2.0,32526573784700.0,1.8375228834e-12,0.25,0.124997417203,0.250079948833,14,0.00781483692457
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-248217120.358,6702626.11912,-248217120.358,-243477647.978,-252956592.739,-252482645.501,-243951595.216,2.0,44925196892700.0,1.8375228834e-12,0.125,0.124997417203,0.249920051167,3,0.00390492011288
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-258785116.469,22981458.9726,-258785116.469,-242534770.988,-275035461.95,-273410427.402,-244159805.536,2.0,528147456508000.0,1.8375228834e-12,0.25,0.124997417203,0.125039974416,20,0.00390741846228
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,350882.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-271439971.541,904474.38356,-271439971.541,-270800411.571,-272079531.511,-272015575.514,-270864367.568,2.0,818073910517.0,1.8375228834e-12,0.125,0.249998396884,0.125039974416,26,0.00390747414382
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-282318254.984,18691977.2697,-282318254.984,-269101031.103,-295535478.865,-294213756.477,-270422753.491,2.0,349390014251000.0,1.8375228834e-12,0.25,0.124997417203,0.250079948833,9,0.00781483692457
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-298658316.702,9635530.13619,-298658316.702,-291844968.002,-305471665.401,-304790330.532,-292526302.872,2.0,92843441005500.0,1.8375228834e-12,0.25,0.124997417203,0.125039974416,15,0.00390741846228
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,350882.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-303498450.763,7488483.23848,-303498450.763,-298203293.484,-308793608.041,-308264092.314,-298732809.212,2.0,56077381213100.0,1.8375228834e-12,0.25,0.249998396884,0.249920051167,32,0.0156199030353
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-304138864.274,2249599.78815,-304138864.274,-302548157.009,-305729571.539,-305570500.813,-302707227.735,2.0,5060699206840.0,1.8375228834e-12,0.125,0.124997417203,0.250079948833,4,0.00390741846228
240.0,-187.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,350882.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-316200786.599,4640511.02498,-316200786.599,-312919449.785,-319482123.413,-319153989.732,-313247583.467,2.0,21534342573000.0,1.8375228834e-12,0.125,0.249998396884,0.249920051167,27,0.00780995151764
240.0,-125.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,350882.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-318245428.534,8564735.58795,-318245428.534,-312189245.921,-324301611.147,-323695992.886,-312794864.182,2.0,73354695691500.0,1.8375228834e-12,0.25,0.249998396884,0.249920051167,38,0.0156199030353
240.0,-156.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-329885277.996,6872747.83537,-329885277.996,-325025511.396,-334745044.596,-334259067.936,-325511488.056,2.0,47234662808600.0,1.8375228834e-12,0.25,0.124997417203,0.125039974416,10,0.00390741846228
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,350882.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-350799190.012,9458223.9217,-350799190.012,-344111215.739,-357487164.285,-356818366.858,-344780013.166,2.0,89457999753100.0,1.8375228834e-12,0.25,0.249998396884,0.249920051167,33,0.0156199030353
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,350882.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-351259113.904,4878617.65105,-351259113.904,-347809410.28,-354708817.528,-354363847.165,-348154380.642,2.0,23800910185100.0,1.8375228834e-12,0.25,0.249998396884,0.250079948833,44,0.0156298965753
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,350882.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-357498040.124,12716221.3491,-357498040.124,-348506313.777,-366489766.471,-365590593.837,-349405486.412,2.0,161702285399000.0,1.8375228834e-12,0.125,0.249998396884,0.125039974416,50,0.00390747414382
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,350882.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-362590628.116,9582242.45327,-362590628.116,-355814959.498,-369366296.734,-368688729.872,-356492526.36,2.0,91819370433300.0,1.8375228834e-12,0.125,0.249998396884,0.249920051167,28,0.00780995151764
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,350882.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-365311745.282,16582327.0864,-365311745.282,-353586269.352,-377037221.213,-375864673.62,-354758816.945,2.0,274973571602000.0,1.8375228834e-12,0.25,0.249998396884,0.250079948833,39,0.0156298965753
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,350882.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-375764316.639,5116111.68995,-375764316.639,-372146679.37,-379381953.908,-379020190.181,-372508443.097,2.0,26174598824000.0,1.8375228834e-12,0.25,0.249998396884,0.125039974416,45,0.00781494828764
