smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,139326778.244,2919.9940395,139326778.244,139328842.991,139324713.496,139324919.971,139328636.517,2.0,8526365.19071,0.25,2.6175466018599997e-14,0.124999250922,0.125226860254,0.00391331593177,2
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,99290195.7047,21831548.9913,99290195.7047,114727432.04,83852959.3691,85396683.0027,113183708.407,2.0,476616531361000.0,0.25,2.6175466018599997e-14,0.124999250922,0.249546279492,0.00779827450171,19
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,51638364.8956,39369816.8036,51638364.8956,79477029.3314,23799700.4597,26583566.9033,76693162.8878,2.0,1549982475150000.0,0.125018050542,2.6175466018599997e-14,0.124999250922,0.125226860254,0.00195694051577,25
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,37442157.4733,7143908.56766,37442157.4733,42493663.6657,32390651.2809,32895801.9002,41988513.0464,2.0,51035429623000.0,0.249963898917,2.6175466018599997e-14,0.124999250922,0.250453720508,0.00782550166399,8
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-58553736.1037,5308267.92693,-58553736.1037,-54800223.8562,-62307248.3512,-61931897.1264,-55175575.0809,2.0,28177708384100.0,0.25,2.6175466018599997e-14,0.124999250922,0.249546279492,0.00779827450171,14
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-104078189.082,2686689.89246,-104078189.082,-102178412.44,-105977965.724,-105787988.06,-102368390.105,2.0,7218302578270.0,0.125018050542,2.6175466018599997e-14,0.249999500615,0.125226860254,0.00391389666791,26
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-146425071.305,19144143.5913,-146425071.305,-132888117.552,-159962025.059,-158608329.683,-134241812.927,2.0,366498233844000.0,0.249963898917,2.6175466018599997e-14,0.124999250922,0.125226860254,0.00391275083199,3
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-151247705.036,3045581.01857,-151247705.036,-149094154.045,-153401256.027,-153185900.928,-149309509.144,2.0,9275563740660.0,0.125018050542,2.6175466018599997e-14,0.124999250922,0.249546279492,0.00389970030317,20
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-227749661.658,13941676.2845,-227749661.658,-217891407.816,-237607915.5,-236622090.116,-218877233.2,2.0,194370337621000.0,0.25,2.6175466018599997e-14,0.249999500615,0.250453720508,0.0156533262635,32
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-229692801.049,2890364.67472,-229692801.049,-227649004.587,-231736597.51,-231532217.864,-227853384.233,2.0,8354207952850.0,0.25,2.6175466018599997e-14,0.124999250922,0.250453720508,0.00782663186354,9
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-246139305.982,34790950.4723,-246139305.982,-221538388.979,-270740222.985,-268280131.285,-223998480.68,2.0,1210410234760000.0,0.125018050542,2.6175466018599997e-14,0.124999250922,0.249546279492,0.00389970030317,15
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-266489547.637,2568281.39842,-266489547.637,-264673498.445,-268305596.83,-268123991.911,-264855103.364,2.0,6596069341470.0,0.25,2.6175466018599997e-14,0.249999500615,0.125226860254,0.00782666313177,27
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-311494679.749,11134905.5864,-311494679.749,-303621112.501,-319368246.997,-318580890.272,-304408469.226,2.0,123986122419000.0,0.249963898917,2.6175466018599997e-14,0.249999500615,0.249546279492,0.0155943590951,38
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-379240066.752,47388368.1409,-379240066.752,-345731430.29,-412748703.213,-409397839.567,-349082293.936,2.0,2245657435050000.0,0.25,2.6175466018599997e-14,0.124999250922,0.125226860254,0.00391331593177,4
